english,singular,plural,article,noun,x,y
Freedom,Die Freiheit,-,Die,Freiheit,freiheit,1
Skill,Die Fähigkeit,Die Fähigkeiten,Die,Fähigkeit,fähigkeit,1
Passion,Die Leidenschaft,Die Leidenschaften,Die,Leidenschaft,leidenschaft,1
Activity,Die Aktivität,Die Aktivitäten,Die,Aktivität,aktivität,1
Fuck,Der Fick,Die Ficks,Der,Fick,fick,0
Platform,Die Plattform,Die Plattformen,Die,Plattform,plattform,1
Salt,Das Salz,-,Das,Salz,salz,2
Bike,Das Fahrrad,Die Fahrräder,Das,Fahrrad,fahrrad,2
Companion,Der Begleiter,Die Begleiter,Der,Begleiter,begleiter,0
Fate,Das Schicksal,-,Das,Schicksal,schicksal,2
Rage,Die Wut,Die Wut,Die,Wut,wut,1
Supply,Die Versorgung,Die Versorgungen,Die,Versorgung,versorgung,1
Whale,Der Wal,Die Wale,Der,Wal,wal,0
Pig,Das Schwein,Die Schweine,Das,Schwein,schwein,2
Rabbit,Das Kaninchen,Die Kaninchen,Das,Kaninchen,kaninchen,2
Aisle,Der Gang,Die Gänge,Der,Gang,gang,0
Monitor,Der Monitor,Die Monitore,Der,Monitor,monitor,0
Helmet,Der Helm,Die Helme,Der,Helm,helm,0
Respect,Der Respekt,-,Der,Respekt,respekt,0
Excitement,Die Aufregung,-,Die,Aufregung,aufregung,1
Lobby,Die Lobby,Die Lobbys,Die,Lobby,lobby,1
Fur,Der Pelz,Die Felle,Der,Pelz,pelz,0
Range,Die Bandbreite,Die Bandbreiten,Die,Bandbreite,bandbreite,1
Code,Der Code,Die Codes,Der,Code,code,0
Chapter,Das Kapitel,Die Kapitel,Das,Kapitel,kapitel,2
Reflection,Die Reflexion,Die Reflexionen,Die,Reflexion,reflexion,1
Fly,Die Fliege,Die Fliegen,Die,Fliege,fliege,1
Toy,Das Spielzeug,Die Spielzeuge,Das,Spielzeug,spielzeug,2
Baseball,Der Baseball,Die Baseballs,Der,Baseball,baseball,0
Inside,Das Innere,-,Das,Innere,innere,2
Pace,Das Tempo,-,Das,Tempo,tempo,2
Lead,Das Blei,-,Das,Blei,blei,2
Amount,Die Menge,Die Mengen,Die,Menge,menge,1
Nerve,Der Nerv,Die Nerven,Der,Nerv,nerv,0
Terror,Der Terror,-,Der,Terror,terror,0
Sweater,Der Pullover,Die Pullover,Der,Pullover,pullover,0
Quality,Die Qualität,Die Qualitäten,Die,Qualität,qualität,1
Hunter,Der Jäger,Die Jäger,Der,Jäger,jäger,0
Buster,Der Zerstörer,Die Zerstörer,Der,Zerstörer,zerstörer,0
Cotton,Die Baumwolle,-,Die,Baumwolle,baumwolle,1
Sergeant,Der Feldwebel,Die Feldwebel,Der,Feldwebel,feldwebel,0
Credit,Der Kredit,Die Kredite,Der,Kredit,kredit,0
Devil,Der Teufel,Die Teufel,Der,Teufel,teufel,0
Threat,Die Bedrohung,Die Bedrohungen,Die,Bedrohung,bedrohung,1
Success,Der Erfolg,Die Erfolge,Der,Erfolg,erfolg,0
Pan,Die Pfanne,Die Pfannen,Die,Pfanne,pfanne,1
Clerk,Der Angestellte,Die Angestellten,Der,Angestellte,angestellte,0
Title,Der Titel,Die Titel,Der,Titel,titel,0
Meter,Der Meter,Die Meter,Der,Meter,meter,0
Shame,Die Schande,-,Die,Schande,schande,1
Needle,Die Nadel,Die Nadeln,Die,Nadel,nadel,1
Lung,Die Lunge,Die Lungen,Die,Lunge,lunge,1
Warrior,Der Krieger,Die Krieger,Der,Krieger,krieger,0
Circumstance,Die Umstände,-,Die,Umstände,umstände,1
Studio,Das Studio,Die Studios,Das,Studio,studio,2
Panic,Die Panik,-,Die,Panik,panik,1
Lack,Der Mangel,-,Der,Mangel,mangel,0
Farmer,Der Bauer,Die Bauern,Der,Bauer,bauer,0
Accent,Der Akzent,Die Akzente,Der,Akzent,akzent,0
Bomb,Die Bombe,Die Bomben,Die,Bombe,bombe,1
Panel,Das Panel,Die Panels,Das,Panel,panel,2
Victor,Der Sieger,Die Sieger,Der,Sieger,sieger,0
Feather,Die Feder,Die Federn,Die,Feder,feder,1
Grandma,Die Oma,Die Omas,Die,Oma,oma,1
Glow,Das Leuchten,Die Leuchten,Das,Leuchten,leuchten,2
Behavior,Das Verhalten,-,Das,Verhalten,verhalten,2
Slave,Der Sklave,Die Sklaven,Der,Sklave,sklave,0
Lieutenant,Der Leutnant,Die Leutnants,Der,Leutnant,leutnant,0
Barrel,Das Fass,Die Fässer,Das,Fass,fass,2
Warmth,Die Wärme,-,Die,Wärme,wärme,1
Impression,Der Eindruck,Die Eindrücke,Der,Eindruck,eindruck,0
Mason,Der Maurer,Die Maurer,Der,Maurer,maurer,0
Bride,Die Braut,Die Bräute,Die,Braut,braut,1
Package,Das Paket,Die Pakete,Das,Paket,paket,2
Fog,Der Nebel,-,Der,Nebel,nebel,0
Walking,Das Gehen,-,Das,Gehen,gehen,2
Balance,Das Gleichgewicht,-,Das,Gleichgewicht,gleichgewicht,2
Sock,Die Socke,Die Socken,Die,Socke,socke,1
Robot,Der Roboter,Die Roboter,Der,Roboter,roboter,0
Potato,Die Kartoffel,Die Kartoffeln,Die,Kartoffel,kartoffel,1
Item,Der Gegenstand,Die Gegenstände,Der,Gegenstand,gegenstand,0
Bath,Das Bad,Die Bäder,Das,Bad,bad,2
Diamond,Der Diamant,Die Diamanten,Der,Diamant,diamant,0
Corpse,Die Leiche,Die Leichen,Die,Leiche,leiche,1
Explanation,Die Erklärung,Die Erklärungen,Die,Erklärung,erklärung,1
Structure,Die Struktur,Die Strukturen,Die,Struktur,struktur,1
Exit,Der Ausgang,Die Ausgänge,Der,Ausgang,ausgang,0
Stove,Der Herd,Die Herde,Der,Herd,herd,0
Blue,Das Blau,-,Das,Blau,blau,2
American,Der Amerikaner,Die Amerikaner,Der,Amerikaner,amerikaner,0
Ruby,Der Rubin,Die Rubine,Der,Rubin,rubin,0
Pit,Die Grube,Die Gruben,Die,Grube,grube,1
Colonel,Der Oberst,Die Obersten,Der,Oberst,oberst,0
Dock,Der Hafen,Die Häfen,Der,Hafen,hafen,0
Creek,Der Bach,Die Bäche,Der,Bach,bach,0
Advice,Der Rat,Die Ratschläge,Der,Rat,rat,0
Tourist,Der Tourist,Die Touristen,Der,Tourist,tourist,0
Grief,Die Trauer,-,Die,Trauer,trauer,1
Defense,Die Verteidigung,-,Die,Verteidigung,verteidigung,1
Bite,Der Biss,Die Bisse,Der,Biss,biss,0
Museum,Das Museum,Die Museen,Das,Museum,museum,2
Favor,Der Gefallen,Die Gefallen,Der,Gefallen,gefallen,0
Comfort,Der Komfort,-,Der,Komfort,komfort,0
Dean,Der Dekan,-,Der,Dekan,dekan,0
Value,Der Wert,Die Werte,Der,Wert,wert,0
March,Der Marsch,Die Märsche,Der,Marsch,marsch,0
Estate,Das Anwesen,Die Anwesen,Das,Anwesen,anwesen,2
Poet,Der Dichter,Die Dichter,Der,Dichter,dichter,0
Palace,Der Palast,Die Paläste,Der,Palast,palast,0
Soup,Die Suppe,Die Suppen,Die,Suppe,suppe,1
Nation,Die Nation,Die Nationen,Die,Nation,nation,1
Sack,Der Sack,Die Säcke,Der,Sack,sack,0
Demon,Der Dämon,Die Dämonen,Der,Dämon,dämon,0
Conference,Die Konferenz,Die Konferenzen,Die,Konferenz,konferenz,1
Juice,Der Saft,Die Säfte,Der,Saft,saft,0
Responsibility,Die Verantwortung,-,Die,Verantwortung,verantwortung,1
Brush,Die Bürste,Die Bürsten,Die,Bürste,bürste,1
Route,Die Route,Die Routen,Die,Route,route,1
Cheese,Der Käse,Die Käse,Der,Käse,käse,0
Hood,Die Motorhaube,Die Motorhauben,Die,Motorhaube,motorhaube,1
Duck,Die Ente,Die Enten,Die,Ente,ente,1
Saint,Der Heilige,Die Heiligen,Der,Heilige,heilige,0
Pass,Der Pass,Die Pässe,Der,Pass,pass,0
Target,Das Ziel,Die Ziele,Das,Ziel,ziel,2
Orange,Die Orange,Die Orangen,Die,Orange,orange,1
Culture,Die Kultur,Die Kulturen,Die,Kultur,kultur,1
Tour,Die Tour,Die Touren,Die,Tour,tour,1
Commander,Der Kommandant,Die Kommandanten,Der,Kommandant,kommandant,0
Hook,Der Haken,Die Haken,Der,Haken,haken,0
Training,Das Training,Die Trainings,Das,Training,training,2
Search,Die Suche,Die Suchen,Die,Suche,suche,1
Coin,Die Münze,Die Münzen,Die,Münze,münze,1
Advantage,Der Vorteil,Die Vorteile,Der,Vorteil,vorteil,0
Exchange,Der Austausch,Die Austausche,Der,Austausch,austausch,0
Fiction,Die Fiktion,-,Die,Fiktion,fiktion,1
Pond,Der Teich,Die Teiche,Der,Teich,teich,0
Assistant,Der Assistent,Die Assistenten,Der,Assistent,assistent,0
Design,Das Design,Die Designs,Das,Design,design,2
Fishing,Das Angeln,-,Das,Angeln,angeln,2
Slope,Der Hang,Die Hänge,Der,Hang,hang,0
Earl,Der Graf,Die Grafen,Der,Graf,graf,0
Comment,Der Kommentar,Die Kommentare,Der,Kommentar,kommentar,0
Waiter,Der Kellner,Die Kellner,Der,Kellner,kellner,0
Grocery,Der Lebensmittel,Die Lebensmittel,Der,Lebensmittel,lebensmittel,0
Ladder,Die Leiter,Die Leitern,Die,Leiter,leiter,1
Curve,Die Kurve,Die Kurven,Die,Kurve,kurve,1
Volume,Das Volumen,Die Volumina,Das,Volumen,volumen,2
Risk,Das Risiko,Die Risiken,Das,Risiko,risiko,2
Nightmare,Der Albtraum,Die Albträume,Der,Albtraum,albtraum,0
Existence,Die Existenz,-,Die,Existenz,existenz,1
Trace,Die Spur,Die Spuren,Die,Spur,spur,1
Disease,Die Krankheit,Die Krankheiten,Die,Krankheit,krankheit,1
Support,Die Unterstützung,-,Die,Unterstützung,unterstützung,1
Witness,Der Zeuge,Die Zeugen,Der,Zeuge,zeuge,0
Stock,Der Bestand,Die Bestände,Der,Bestand,bestand,0
Device,Das Gerät,Die Geräte,Das,Gerät,gerät,2
Landscape,Die Landschaft,Die Landschaften,Die,Landschaft,landschaft,1
Holiday,Der Feiertag,Die Feiertage,Der,Feiertag,feiertag,0
Ace,Das Ass,Die Asse,Das,Ass,ass,2
Piano,Das Klavier,Die Klaviere,Das,Klavier,klavier,2
Gut,Der Darm,-,Der,Darm,darm,0
Talent,Das Talent,Die Talente,Das,Talent,talent,2
Imagination,Die Fantasie,-,Die,Fantasie,fantasie,1
Black,Das Schwarz,-,Das,Schwarz,schwarz,2
Reed,Der Rohrkolben,Die Rohrkolben,Der,Rohrkolben,rohrkolben,0
Lid,Der Deckel,Die Deckel,Der,Deckel,deckel,0
Hint,Der Hinweis,Die Hinweise,Der,Hinweis,hinweis,0
Walker,Der Spaziergänger,Die Spaziergänger,Der,Spaziergänger,spaziergänger,0
Chill,Das Schaudern,-,Das,Schaudern,schaudern,2
Interview,Das Interview,Die Interviews,Das,Interview,interview,2
Approach,Der Ansatz,Die Ansätze,Der,Ansatz,ansatz,0
Scar,Die Narbe,Die Narben,Die,Narbe,narbe,1
Fashion,Die Mode,-,Die,Mode,mode,1
Channel,Der Kanal,Die Kanäle,Der,Kanal,kanal,0
Footstep,Der Fußabdruck,Die Fußabdrücke,Der,Fußabdruck,fußabdruck,0
Pickup,Der Pick-up,Die Pick-ups,Der,Pick-up,pick-up,0
Hawk,Der Habicht,Die Habichte,Der,Habicht,habicht,0
Trailer,Der Anhänger,Die Anhänger,Der,Anhänger,anhänger,0
Statue,Die Statue,Die Statuen,Die,Statue,statue,1
Pill,Die Pille,Die Pillen,Die,Pille,pille,1
Bug,Der Käfer,Die Käfer,Der,Käfer,käfer,0
Bucket,Der Eimer,Die Eimer,Der,Eimer,eimer,0
Vacation,Der Urlaub,Die Urlaube,Der,Urlaub,urlaub,0
Column,Die Säule,Die Säulen,Die,Säule,säule,1
Damage,Der Schaden,-,Der,Schaden,schaden,0
Instrument,Das Instrument,Die Instrumente,Das,Instrument,instrument,2
Layer,Die Schicht,Die Schichten,Die,Schicht,schicht,1
Strip,Der Streifen,Die Streifen,Der,Streifen,streifen,0
Garbage,Der Müll,-,Der,Müll,müll,0
Rib,Die Rippe,Die Rippen,Die,Rippe,rippe,1
Notebook,Das Notizbuch,Die Notizbücher,Das,Notizbuch,notizbuch,2
Corn,Der Mais,-,Der,Mais,mais,0
Offer,Das Angebot,Die Angebote,Das,Angebot,angebot,2
Drawing,Die Zeichnung,Die Zeichnungen,Die,Zeichnung,zeichnung,1
Statement,Die Aussage,Die Aussagen,Die,Aussage,aussage,1
Intelligence,Die Intelligenz,-,Die,Intelligenz,intelligenz,1
Excuse,Die Entschuldigung,Die Entschuldigungen,Die,Entschuldigung,entschuldigung,1
Landing,Die Landung,Die Landungen,Die,Landung,landung,1
Copyright,Das Urheberrecht,-,Das,Urheberrecht,urheberrecht,2
Rod,Die Stange,Die Stangen,Die,Stange,stange,1
Curiosity,Die Neugierde,-,Die,Neugierde,neugierde,1
Gown,Das Gewand,Die Gewänder,Das,Gewand,gewand,2
Border,Die Grenze,Die Grenzen,Die,Grenze,grenze,1
Poetry,Die Poesie,-,Die,Poesie,poesie,1
Firm,Die Firma,Die Firmen,Die,Firma,firma,1
Rise,Der Anstieg,Die Anstiege,Der,Anstieg,anstieg,0
Handful,Die Handvoll,Die Handvoll,Die,Handvoll,handvoll,1
China,Das Porzellan,-,Das,Porzellan,porzellan,2
French,Der Franzose,Die Franzosen,Der,Franzose,franzose,0
Mean,Der Durchschnitt,Die Durchschnitte,Der,Durchschnitt,durchschnitt,0
Deer,Das Reh,Die Rehe,Das,Reh,reh,2
Rail,Die Schiene,Die Schienen,Die,Schiene,schiene,1
Rate,Der Tarif,Die Tarife,Der,Tarif,tarif,0
Courage,Der Mut,-,Der,Mut,mut,0
Arrival,Die Ankunft,Die Ankünfte,Die,Ankunft,ankunft,1
Wish,Der Wunsch,Die Wünsche,Der,Wunsch,wunsch,0
Ridge,Der Bergrücken,Die Bergrücken,Der,Bergrücken,bergrücken,0
Idiot,Der Idiot,Die Idioten,Der,Idiot,idiot,0
Bull,Der Stier,Die Stiere,Der,Stier,stier,0
Seed,Der Samen,Die Samen,Der,Samen,samen,0
Progress,Der Fortschritt,-,Der,Fortschritt,fortschritt,0
Shorts,Die kurze Hose,Die kurze Hosen,Die,kurze Hose,kurze hose,1
Citizen,Der Bürger,Die Bürger,Der,Bürger,bürger,0
Log,Der Baumstamm,Die Baumstämme,Der,Baumstamm,baumstamm,0
Patience,Die Geduld,-,Die,Geduld,geduld,1
Bat,Die Fledermaus,Die Fledermäuse,Die,Fledermaus,fledermaus,1
Football,Der Fußball,Die Fußbälle,Der,Fußball,fußball,0
Routine,Die Routine,Die Routinen,Die,Routine,routine,1
Explosion,Die Explosion,Die Explosionen,Die,Explosion,explosion,1
Content,Der Inhalt,Die Inhalte,Der,Inhalt,inhalt,0
Scientist,Der Wissenschaftler,Die Wissenschaftler,Der,Wissenschaftler,wissenschaftler,0
Failure,Das Versagen,Die Versagen,Das,Versagen,versagen,2
Sin,Die Sünde,Die Sünden,Die,Sünde,sünde,1
Confusion,Die Verwirrung,-,Die,Verwirrung,verwirrung,1
Understanding,Das Verständnis,-,Das,Verständnis,verständnis,2
Trade,Der Handel,Die Handel,Der,Handel,handel,0
Refrigerator,Der Kühlschrank,Die Kühlschränke,Der,Kühlschrank,kühlschrank,0
Flashlight,Die Taschenlampe,Die Taschenlampen,Die,Taschenlampe,taschenlampe,1
Net,Das Netz,Die Netze,Das,Netz,netz,2
Sailor,Der Matrose,Die Matrosen,Der,Matrose,matrose,0
Attitude,Die Einstellung,Die Einstellungen,Die,Einstellung,einstellung,1
Guilt,Die Schuld,-,Die,Schuld,schuld,1
Sip,Der Schluck,Die Schlucke,Der,Schluck,schluck,0
Travel,Das Reisen,Die Reisen,Das,Reisen,reisen,2
Cookie,Der Keks,Die Kekse,Der,Keks,keks,0
Escape,Die Flucht,Die Fluchten,Die,Flucht,flucht,1
Instruction,Die Anweisung,Die Anweisungen,Die,Anweisung,anweisung,1
Marble,Der Marmor,Die Marmore,Der,Marmor,marmor,0
Dusk,Die Dämmerung,-,Die,Dämmerung,dämmerung,1
Cottage,Die Hütte,Die Hütten,Die,Hütte,hütte,1
Monkey,Der Affe,Die Affen,Der,Affe,affe,0
Makeup,Das Make-up,-,Das,Make-up,make-up,2
Blouse,Die Bluse,Die Blusen,Die,Bluse,bluse,1
Rhythm,Der Rhythmus,Die Rhythmen,Der,Rhythmus,rhythmus,0
Steam,Der Dampf,-,Der,Dampf,dampf,0
Phrase,Die Phrase,Die Phrasen,Die,Phrase,phrase,1
Pencil,Der Bleistift,Die Bleistifte,Der,Bleistift,bleistift,0
Cook,Der Koch,Die Köche,Der,Koch,koch,0
Flag,Die Flagge,Die Flaggen,Die,Flagge,flagge,1
Coach,Der Trainer,Die Trainer,Der,Trainer,trainer,0
Swing,Der Schwung,Die Schwünge,Der,Schwung,schwung,0
Speaker,Der Lautsprecher,Die Lautsprecher,Der,Lautsprecher,lautsprecher,0
Bolt,Der Bolzen,Die Bolzen,Der,Bolzen,bolzen,0
Fat,Das Fett,Die Fette,Das,Fett,fett,2
Knock,Das Klopfen,-,Das,Klopfen,klopfen,2
Spell,Der Zauber,Die Zauber,Der,Zauber,zauber,0
Round,Die Runde,Die Runden,Die,Runde,runde,1
Straw,Der Strohhalm,Die Strohhalme,Der,Strohhalm,strohhalm,0
Hatch,Die Luke,Die Luken,Die,Luke,luke,1
Fork,Die Gabel,Die Gabeln,Die,Gabel,gabel,1
Evil,Das Böse,-,Das,Böse,böse,2
Maid,Die Dienstmädchen,-,Die,Dienstmädchen,dienstmädchen,1
Relative,Der Verwandte,Die Verwandten,Der,Verwandte,verwandte,0
Witch,Die Hexe,Die Hexen,Die,Hexe,hexe,1
Courtyard,Der Innenhof,Die Innenhöfe,Der,Innenhof,innenhof,0
Sensation,Die Sensation,Die Sensationen,Die,Sensation,sensation,1
Bubble,Die Blase,Die Blasen,Die,Blase,blase,1
Reader,Der Leser,Die Leser,Der,Leser,leser,0
Curl,Die Locke,Die Locken,Die,Locke,locke,1
Jet,Das Düsenflugzeug,Die Düsenflugzeuge,Das,Düsenflugzeug,düsenflugzeug,2
Union,Die Union,Die Unionen,Die,Union,union,1
Teenager,Der Teenager,Die Teenager,Der,Teenager,teenager,0
Plain,Die Ebene,Die Ebenen,Die,Ebene,ebene,1
Waitress,Die Kellnerin,Die Kellnerinnen,Die,Kellnerin,kellnerin,1
Rumor,Das Gerücht,Die Gerüchte,Das,Gerücht,gerücht,2
Gravity,Die Schwerkraft,-,Die,Schwerkraft,schwerkraft,1
Shelter,Das Schutz,Die Schutz,Das,Schutz,schutz,2
Adventure,Das Abenteuer,Die Abenteuer,Das,Abenteuer,abenteuer,2
Lion,Der Löwe,Die Löwen,Der,Löwe,löwe,0
Spine,Die Wirbelsäule,Die Wirbelsäulen,Die,Wirbelsäule,wirbelsäule,1
Confidence,Das Vertrauen,Die Vertrauen,Das,Vertrauen,vertrauen,2
Depth,Die Tiefe,Die Tiefen,Die,Tiefe,tiefe,1
Reach,Die Reichweite,Die Reichweiten,Die,Reichweite,reichweite,1
Hammer,Der Hammer,Die Hämmer,Der,Hammer,hammer,0
Bible,Die Bibel,Die Bibeln,Die,Bibel,bibel,1
Contract,Der Vertrag,Die Verträge,Der,Vertrag,vertrag,0
Wallet,Die Brieftasche,Die Brieftaschen,Die,Brieftasche,brieftasche,1
Jungle,Der Dschungel,Die Dschungel,Der,Dschungel,dschungel,0
Factory,Die Fabrik,Die Fabriken,Die,Fabrik,fabrik,1
Indian,Der Indianer,Die Indianer,Der,Indianer,indianer,0
Balcony,Der Balkon,Die Balkone,Der,Balkon,balkon,0
Rice,Der Reis,-,Der,Reis,reis,0
Knot,Der Knoten,Die Knoten,Der,Knoten,knoten,0
Colleague,Der Kollege,Die Kollegen,Der,Kollege,kollege,0
Intention,Die Absicht,Die Absichten,Die,Absicht,absicht,1
Stare,Der starren,-,Der,starren,starren,0
Motel,Das Motel,Die Motels,Das,Motel,motel,2
Darling,Der Liebling,Die Lieblinge,Der,Liebling,liebling,0
Discussion,Die Diskussion,Die Diskussionen,Die,Diskussion,diskussion,1
Atmosphere,Die Atmosphäre,Die Atmosphären,Die,Atmosphäre,atmosphäre,1
Performance,Die Aufführung,Die Aufführungen,Die,Aufführung,aufführung,1
Tension,Die Spannung,Die Spannungen,Die,Spannung,spannung,1
Text,Der Text,Die Texte,Der,Text,text,0
Noon,Der Mittag,-,Der,Mittag,mittag,0
Vein,Die Ader,Die Adern,Die,Ader,ader,1
Expert,Der Experte,Die Experten,Der,Experte,experte,0
Gang,Die Bande,Die Banden,Die,Bande,bande,1
Cancer,Der Krebs,-,Der,Krebs,krebs,0
Fox,Der Fuchs,Die Füchse,Der,Fuchs,fuchs,0
Divorce,Die Scheidung,Die Scheidungen,Die,Scheidung,scheidung,1
Pulse,Der Puls,Die Pulse,Der,Puls,puls,0
Absence,Die Abwesenheit,-,Die,Abwesenheit,abwesenheit,1
Violence,Die Gewalt,-,Die,Gewalt,gewalt,1
Humor,Der Humor,-,Der,Humor,humor,0
Stool,Der Hocker,Die Hocker,Der,Hocker,hocker,0
Gravel,Der Kies,-,Der,Kies,kies,0
Treasure,Der Schatz,Die Schätze,Der,Schatz,schatz,0
Butter,Die Butter,-,Die,Butter,butter,1
Switch,Der Schalter,Die Schalter,Der,Schalter,schalter,0
Cigar,Die Zigarre,Die Zigarren,Die,Zigarre,zigarre,1
Canvas,Die Leinwand,Die Leinwände,Die,Leinwand,leinwand,1
Pin,Die Stecknadel,Die Stecknadeln,Die,Stecknadel,stecknadel,1
Actor,Der Schauspieler,Die Schauspieler,Der,Schauspieler,schauspieler,0
Whole,Das Ganze,-,Das,Ganze,ganze,2
Arrangement,Die Anordnung,Die Anordnungen,Die,Anordnung,anordnung,1
Brown,Das Braun,-,Das,Braun,braun,2
Host,Der Gastgeber,Die Gastgeber,Der,Gastgeber,gastgeber,0
Scarf,Der Schal,Die Schals,Der,Schal,schal,0
Scale,Die Skala,Die Skalen,Die,Skala,skala,1
Arrow,Der Pfeil,Die Pfeile,Der,Pfeil,pfeil,0
Temperature,Die Temperatur,Die Temperaturen,Die,Temperatur,temperatur,1
Technology,Die Technologie,Die Technologien,Die,Technologie,technologie,1
Permission,Die Erlaubnis,Die Erlaubnisse,Die,Erlaubnis,erlaubnis,1
Location,Der Standort,Die Standorte,Der,Standort,standort,0
Claw,Die Klaue,Die Klauen,Die,Klaue,klaue,1
Cowboy,Der Cowboy,Die Cowboys,Der,Cowboy,cowboy,0
Agency,Die Agentur,Die Agenturen,Die,Agentur,agentur,1
Construction,Der Bau,-,Der,Bau,bau,0
Hunting,Die Jagd,-,Die,Jagd,jagd,1
Vegetable,Das Gemüse,Die Gemüse,Das,Gemüse,gemüse,2
Tin,Die Konservendose,Die Konservendosen,Die,Konservendose,konservendose,1
Helicopter,Der Hubschrauber,Die Hubschrauber,Der,Hubschrauber,hubschrauber,0
Trap,Die Falle,Die Fallen,Die,Falle,falle,1
Gap,Die Lücke,Die Lücken,Die,Lücke,lücke,1
Pet,Das Haustier,Die Haustiere,Das,Haustier,haustier,2
Education,Das Bildung,-,Das,Bildung,bildung,2
Shopping,Die Einkauf,Die Einkäufe,Die,Einkauf,einkauf,1
Shed,Der Schuppen,Die Schuppen,Der,Schuppen,schuppen,0
Agreement,Die Vereinbarung,Die Vereinbarungen,Die,Vereinbarung,vereinbarung,1
Duke,Der Herzog,Die Herzog,Der,Herzog,herzog,0
Shotgun,Das Schrotflinte,Die Schrotflinten,Das,Schrotflinte,schrotflinte,2
Rear,Das Heck,-,Das,Heck,heck,2
Ceremony,Die Zeremonie,Die Zeremonien,Die,Zeremonie,zeremonie,1
Spoon,Der Löffel,Die Löffel,Der,Löffel,löffel,0
Tub,Die Badewanne,Die Badewannen,Die,Badewanne,badewanne,1
Iris,Die Iris,Die Irisse,Die,Iris,iris,1
Incident,Der Vorfall,Die Vorfälle,Der,Vorfall,vorfall,0
Crash,Der Zusammenstoß,Die Zusammenstöße,Der,Zusammenstoß,zusammenstoß,0
Journal,Das Journal,Die Journale,Das,Journal,journal,2
Access,Der Zugriff,-,Der,Zugriff,zugriff,0
Brass,Das Messing,-,Das,Messing,messing,2
Mommy,Die Mama,Die Mamas,Die,Mama,mama,1
Sidebar,Die Sidebar,Die Sidebars,Die,Sidebar,sidebar,1
Sheep,Das Schaf,Die Schafe,Das,Schaf,schaf,2
Engineer,Der Ingenieur,Die Ingenieure,Der,Ingenieur,ingenieur,0
Hull,Der Rumpf,Die Rümpfe,Der,Rumpf,rumpf,0
Appointment,Die Termin,Die Termine,Die,Termin,termin,1
Invitation,Die Einladung,Die Einladungen,Die,Einladung,einladung,1
Rag,Das Lumpen,Die Lumpen,Das,Lumpen,lumpen,2
Good,Das Gute,-,Das,Gute,gute,2
Dude,Der Typ,Die Typen,Der,Typ,typ,0
Treatment,Die Behandlung,Die Behandlungen,Die,Behandlung,behandlung,1
Wisdom,Die Weisheit,-,Die,Weisheit,weisheit,1
Element,Das Element,Die Elemente,Das,Element,element,2
Giant,Der Riese,Die Riesen,Der,Riese,riese,0
Napkin,Die Serviette,Die Servietten,Die,Serviette,serviette,1
Laundry,Die Wäsche,-,Die,Wäsche,wäsche,1
Option,Die Option,Die Optionen,Die,Option,option,1
Request,Die Anfrage,Die Anfragen,Die,Anfrage,anfrage,1
Grandpa,Der Opa,Die Opas,Der,Opa,opa,0
Ranch,Die Ranch,Die Ranches,Die,Ranch,ranch,1
Script,Das Skript,Die Skripte,Das,Skript,skript,2
Mall,Das Einkaufszentrum,Die Einkaufszentren,Das,Einkaufszentrum,einkaufszentrum,2
Ford,Die Furt,Die Furten,Die,Furt,furt,1
Widow,Die Witwe,Die Witwen,Die,Witwe,witwe,1
Crow,Die Krähe,Die Krähen,Die,Krähe,krähe,1
Thread,Der Faden,Die Fäden,Der,Faden,faden,0
Suicide,Der Selbstmord,Die Selbstmorde,Der,Selbstmord,selbstmord,0
Sunset,Der Sonnenuntergang,Die Sonnenuntergänge,Der,Sonnenuntergang,sonnenuntergang,0
Gallery,Die Galerie,Die Galerien,Die,Galerie,galerie,1
Vessel,Das Gefäß,Die Gefäße,Das,Gefäß,gefäß,2
Thunder,Der Donner,-,Der,Donner,donner,0
Soap,Die Seife,Die Seifen,Die,Seife,seife,1
Whiskey,Der Whisky,-,Der,Whisky,whisky,0
Mayor,Der Bürgermeister,Die Bürgermeister,Der,Bürgermeister,bürgermeister,0
Stroke,Der Schlaganfall,Die Schlaganfälle,Der,Schlaganfall,schlaganfall,0
Click,Der Klick,Die Klicks,Der,Klick,klick,0
Reputation,Der Ruf,Die Rufe,Der,Ruf,ruf,0
Miller,Der Müller,Die Müller,Der,Müller,müller,0
Schedule,Der Zeitplan,Die Zeitpläne,Der,Zeitplan,zeitplan,0
Cemetery,Der Friedhof,Die Friedhöfe,Der,Friedhof,friedhof,0
Instinct,Der Instinkt,Die Instinkte,Der,Instinkt,instinkt,0
Employee,Der Mitarbeiter,Die Mitarbeiter,Der,Mitarbeiter,mitarbeiter,0
Nest,Das Nest,Die Nester,Das,Nest,nest,2
German,Der Deutsche,Die Deutschen,Der,Deutsche,deutsche,0
Monk,Der Mönch,Die Mönche,Der,Mönch,mönch,0
Worm,Der Wurm,Die Würmer,Der,Wurm,wurm,0
Document,Das Dokument,Die Dokumente,Das,Dokument,dokument,2
Dancer,Der Tänzer,Die Tänzer,Der,Tänzer,tänzer,0
Insurance,Die Versicherung,Die Versicherungen,Die,Versicherung,versicherung,1
Mattress,Die Matratze,Die Matratzen,Die,Matratze,matratze,1
Clinic,Die Klinik,Die Kliniken,Die,Klinik,klinik,1
Ad,Die Anzeige,Die Anzeigen,Die,Anzeige,anzeige,1
