english,singular,plural,article,noun,x,y,possessive,croatian
Personality,Die Persönlichkeit,Die Persönlichkeiten,Die,Persönlichkeit,persönlichkeit,1,Meine Persönlichkeit,Moja osobnost
Campus,Der Campus,Die Campi,Der,Campus,campus,0,Mein Campus,Moj kampus
Curse,Der Fluch,Die Flüche,Der,Fluch,fluch,0,Mein Fluch,Moje prokletstvo
Staircase,Das Treppenhaus,Die Treppenhäuser,Das,Treppenhaus,treppenhaus,2,Mein Treppenhaus,Moje stubište
Urge,Der Drang,Die Dränge,Der,Drang,drang,0,Mein Drang,Moj poriv
Frustration,Die Frustration,(usually uncountable),Die,Frustration,frustration,1,Meine Frustration,Moja frustracija
Pump,Die Pumpe,Die Pumpen,Die,Pumpe,pumpe,1,Meine Pumpe,Moja pumpa
Ease,Die Leichtigkeit,(usually uncountable),Die,Leichtigkeit,leichtigkeit,1,Meine Leichtigkeit,Moja lakoća
Count,Der Graf,Die Grafen,Der,Graf,graf,0,Mein Graf,Moj grof
Solution,Die Lösung,Die Lösungen,Die,Lösung,lösung,1,Meine Lösung,Moje rješenje
Jewelry,Der Schmuck,(usually uncountable),Der,Schmuck,schmuck,0,Mein Schmuck,Moj nakit
Siren,Die Sirene,Die Sirenen,Die,Sirene,sirene,1,Meine Sirene,Moja sirena
Hit,Der Hit,Die Hits,Der,Hit,hit,0,Mein Hit,Moj pogodak
Tradition,Die Tradition,Die Traditionen,Die,Tradition,tradition,1,Meine Tradition,Moja tradicija
Curb,Der Bordstein,Die Bordsteine,Der,Bordstein,bordstein,0,Mein Bordstein,Moj rubnik
Variety,Die Vielfalt,Die Vielfalten,Die,Vielfalt,vielfalt,1,Meine Vielfalt,Moja raznolikost
Pirate,Der Pirat,Die Piraten,Der,Pirat,pirat,0,Mein Pirat,Moj gusar
Description,Die Beschreibung,Die Beschreibungen,Die,Beschreibung,beschreibung,1,Meine Beschreibung,Moj opis
Dear,Der Liebling,Die Lieblinge,Der,Liebling,liebling,0,Mein Liebling,Dušo moja
Anxiety,Die Angst,Die Ängste,Die,Angst,angst,1,Meine Angst,Moj strah
Pitch,Die Tonhöhe,Die Tonhöhen,Die,Tonhöhe,tonhöhe,1,Meine Tonhöhe,Moj prijedlog
Pizza,Die Pizza,Die Pizzen,Die,Pizza,pizza,1,Meine Pizza,Moja pizza
Elephant,Der Elefant,Die Elefanten,Der,Elefant,elefant,0,Mein Elefant,Moj slon
Politics,Die Politik,(usually uncountable),Die,Politik,politik,1,Meine Politik,Moja pravila
Tennis,Das Tennis,(usually uncountable),Das,Tennis,tennis,2,Mein Tennis,Moj tenis
Hunger,Der Hunger,(usually uncountable),Der,Hunger,hunger,0,Mein Hunger,Moja glad
Genius,Das Genie,Die Genies,Das,Genie,genie,2,Mein Genie,Moj genij
Goat,Die Ziege,Die Ziegen,Die,Ziege,ziege,1,Meine Ziege,Moja koza
Victory,Der Sieg,Die Siege,Der,Sieg,sieg,0,Mein Sieg,Moja pobjeda
Combination,Die Kombination,Die Kombinationen,Die,Kombination,kombination,1,Meine Kombination,Moja kombinacija
Affiliation,Die Zugehörigkeit,Die Zugehörigkeiten,Die,Zugehörigkeit,zugehörigkeit,1,Meine Zugehörigkeit,Moja pripadnost
Momma,Die Mama,Die Mamas,Die,Mama,mama,1,Meine Mama,Moja mama
Cape,Das Kap,Die Kaps,Das,Kap,kap,2,Mein Kap,Moj ogrtač
Headlight,Der Scheinwerfer,Die Scheinwerfer,Der,Scheinwerfer,scheinwerfer,0,Mein Scheinwerfer,Moje prednje svjetlo
Governor,Der Gouverneur,Die Gouverneure,Der,Gouverneur,gouverneur,0,Mein Gouverneur,Moj guverner
Oxygen,Der Sauerstoff,(usually uncountable),Der,Sauerstoff,sauerstoff,0,Mein Sauerstoff,Moj kisik
Bishop,Der Bischof,Die Bischöfe,Der,Bischof,bischof,0,Mein Bischof,Moj biskup
Bundle,Das Bündel,Die Bündel,Das,Bündel,bündel,2,Mein Bündel,Moj paket
Development,Die Entwicklung,Die Entwicklungen,Die,Entwicklung,entwicklung,1,Meine Entwicklung,Moj razvoj
Fingernail,Der Fingernagel,Die Fingernägel,Der,Fingernagel,fingernagel,0,Mein Fingernagel,Moj nokat
Score,Der Punktestand,Die Punktestände,Der,Punktestand,punktestand,0,Mein Punktestand,Moj rezultat
Mate,Der Kamerad,Die Kameraden,Der,Kamerad,kamerad,0,Mein Kamerad,Moj drug
Rider,Der Reiter,Die Reiter,Der,Reiter,reiter,0,Mein Reiter,Moj jahač
Orbit,Die Umlaufbahn,Die Umlaufbahnen,Die,Umlaufbahn,umlaufbahn,1,Meine Umlaufbahn,Moja orbita
Vine,Die Rebe,Die Reben,Die,Rebe,rebe,1,Meine Rebe,Moja loza
Suite,Die Suite,Die Suiten,Die,Suite,suite,1,Meine Suite,Moj apartman
Bartender,Der Barkeeper,Die Barkeeper,Der,Barkeeper,barkeeper,0,Mein Barkeeper,Moj barmen
Coke,Die Cola,(usually uncountable),Die,Cola,cola,1,Meine Cola,Moja Cola
Tune,Die Melodie,Die Melodien,Die,Melodie,melodie,1,Meine Melodie,Moja melodija
Glory,Der Ruhm,(usually uncountable),Der,Ruhm,ruhm,0,Mein Ruhm,Moja slava
Rabbi,Der Rabbi,(plural form is Rabbiner),Der,Rabbi,rabbi,0,Mein Rabbi,Moj rabin
Surgery,Die Operation,Die Operationen,Die,Operation,operation,1,Meine Operation,Moja operacija
Cattle,Das Rindvieh,(usually uncountable),Das,Rindvieh,rindvieh,2,Mein Rindvieh,Moja stoka
Ritual,Das Ritual,Die Rituale,Das,Ritual,ritual,2,Mein Ritual,Moj ritual
Greeting,Der Gruß,Die Grüße,Der,Gruß,gruß,0,Mein Gruß,Moji pozdravi
Slice,Die Scheibe,Die Scheiben,Die,Scheibe,scheibe,1,Meine Scheibe,Moj disk
Homer,Der Homer,Die Homers,Der,Homer,homer,0,Mein Homer,Moj Homer
Fireplace,Der Kamin,Die Kamine,Der,Kamin,kamin,0,Mein Kamin,Moj kamin
Jersey,Das Trikot,Die Trikots,Das,Trikot,trikot,2,Mein Trikot,Moj dres
Media,Die Medien,(plural noun),Die,Medien,medien,1,Meine Medien,Moji mediji
Pop,Der Knall,Die Knalle,Der,Knall,knall,0,Mein Knall,Moj prasak
Cargo,Die Ladung,Die Ladungen,Die,Ladung,ladung,1,Meine Ladung,Moj teret
Inn,Die Herberge,Die Herbergen,Die,Herberge,herberge,1,Meine Herberge,Moj hostel
Deputy,Der Stellvertreter,Die Stellvertreter,Der,Stellvertreter,stellvertreter,0,Mein Stellvertreter,Moj zamjenik
Despair,Die Verzweiflung,(usually uncountable),Die,Verzweiflung,verzweiflung,1,Meine Verzweiflung,Moj očaj
Territory,Das Gebiet,Die Gebiete,Das,Gebiet,gebiet,2,Mein Gebiet,Moje područje
Punch,Der Schlag,Die Schläge,Der,Schlag,schlag,0,Mein Schlag,Moje potkrovlje
Jazz,Der Jazz,(usually uncountable),Der,Jazz,jazz,0,Mein Jazz,Moj Jazz
Hug,Die Umarmung,Die Umarmungen,Die,Umarmung,umarmung,1,Meine Umarmung,Moj zagrljaj
Whistle,Die Pfeife,Die Pfeifen,Die,Pfeife,pfeife,1,Meine Pfeife,Moja lula
Humanity,Die Menschheit,(usually uncountable),Die,Menschheit,menschheit,1,Meine Menschheit,Moja ljudskost
Craft,Das Handwerk,Die Handwerke,Das,Handwerk,handwerk,2,Mein Handwerk,Moj zanat
Daylight,Das Tageslicht,(usually uncountable),Das,Tageslicht,tageslicht,2,Mein Tageslicht,Moje dnevno svjetlo
Worth,Der Wert,Die Werte,Der,Wert,wert,0,Mein Wert,Moja vrijednost
Slip,Die Einlage,Die Einlagen,Die,Einlage,einlage,1,Meine Einlage,Moj depozit
Armor,Die Rüstung,Die Rüstungen,Die,Rüstung,rüstung,1,Meine Rüstung,Moj oklop
Backpack,Der Rucksack,Die Rucksäcke,Der,Rucksack,rucksack,0,Mein Rucksack,Moj ruksak
Suggestion,Der Vorschlag,Die Vorschläge,Der,Vorschlag,vorschlag,0,Mein Vorschlag,Moj prijedlog
Den,Die Höhle,Die Höhlen,Die,Höhle,höhle,1,Meine Höhle,Moja špilja
Symbol,Das Symbol,Die Symbole,Das,Symbol,symbol,2,Mein Symbol,Moj simbol
Colony,Die Kolonie,Die Kolonien,Die,Kolonie,kolonie,1,Meine Kolonie,Moja kolonija
Conclusion,Der Schluss,Die Schlüsse,Der,Schluss,schluss,0,Mein Schluss,Moj zaključak
Nostril,Das Nasenloch,Die Nasenlöcher,Das,Nasenloch,nasenloch,2,Mein Nasenloch,Moja nosnica
Spear,Der Speer,Die Speere,Der,Speer,speer,0,Mein Speer,Moje koplje
Impulse,Der Impuls,Die Impulse,Der,Impuls,impuls,0,Mein Impuls,Moj impuls
Tomato,Die Tomate,Die Tomaten,Die,Tomate,tomate,1,Meine Tomate,Moja rajčica
Calf,Das Kalb,Die Kälber,Das,Kalb,kalb,2,Mein Kalb,Moje tele
Autumn,Der Herbst,(usually uncountable),Der,Herbst,herbst,0,Mein Herbst,Moja jesen
Discovery,Die Entdeckung,Die Entdeckungen,Die,Entdeckung,entdeckung,1,Meine Entdeckung,Moje otkriće
Classroom,Das Klassenzimmer,Die Klassenzimmer,Das,Klassenzimmer,klassenzimmer,2,Mein Klassenzimmer,Moja učionica
Delivery,Die Lieferung,Die Lieferungen,Die,Lieferung,lieferung,1,Meine Lieferung,Moja isporuka
Spray,Das Spray,Die Sprays,Das,Spray,spray,2,Mein Spray,Moj sprej
Liquid,Die Flüssigkeit,Die Flüssigkeiten,Die,Flüssigkeit,flüssigkeit,1,Meine Flüssigkeit,Moja tekućina
Fuel,Der Treibstoff,(usually uncountable),Der,Treibstoff,treibstoff,0,Mein Treibstoff,Moje gorivo
Underwear,Die Unterwäsche,(no plural form),Die,Unterwäsche,unterwäsche,1,Meine Unterwäsche,Moje donje rublje
Dome,Die Kuppel,Die Kuppeln,Die,Kuppel,kuppel,1,Meine Kuppel,Moja kupola
Population,Die Bevölkerung,(usually uncountable),Die,Bevölkerung,bevölkerung,1,Meine Bevölkerung,Moja populacija
Affection,Die Zuneigung,(usually uncountable),Die,Zuneigung,zuneigung,1,Meine Zuneigung,Moja naklonost
Religion,Die Religion,Die Religionen,Die,Religion,religion,1,Meine Religion,Moja religija
Singer,Der Sänger,Die Sängerinnen,Der,Sänger,sänger,0,Mein Sänger,Moj pjevač
Attendant,Der Bedienstete,Die Bediensteten,Der,Bedienstete,bedienstete,0,Mein Bedienstete,Moj sluga
Illusion,Die Illusion,Die Illusionen,Die,Illusion,illusion,1,Meine Illusion,Moja iluzija
Link,Der Link,Die Links,Der,Link,link,0,Mein Link,Moja veza
Lounge,Die Lounge,Die Lounges,Die,Lounge,lounge,1,Meine Lounge,Moj salon
Interior,Das Innere,Die Innenräume,Das,Innere,innere,2,Mein Innere,Moja nutrina
Shrug,Das Achselzucken,(usually uncountable),Das,Achselzucken,achselzucken,2,Mein Achselzucken,Moje slijeganje ramenima
Zone,Die Zone,Die Zonen,Die,Zone,zone,1,Meine Zone,Moja zona
Standard,Der Standard,Die Standards,Der,Standard,standard,0,Mein Standard,Moj standard
Coal,Die Kohle,(usually uncountable),Die,Kohle,kohle,1,Meine Kohle,Moj ugljen
Chase,Die Jagd,Die Jagden,Die,Jagd,jagd,1,Meine Jagd,Moj lov
Lump,Der Kloß,Die Klöße,Der,Kloß,kloß,0,Mein Kloß,Moja okruglica
Charm,Der Charme,Die Charmes,Der,Charme,charme,0,Mein Charme,Moj šarm
Legend,Die Legende,Die Legenden,Die,Legende,legende,1,Meine Legende,Moja legenda
Consequence,Die Konsequenz,Die Konsequenzen,Die,Konsequenz,konsequenz,1,Meine Konsequenz,Moja posljedica
Observation,Die Beobachtung,Die Beobachtungen,Die,Beobachtung,beobachtung,1,Meine Beobachtung,Moje zapažanje
Bicycle,Das Fahrrad,Die Fahrräder,Das,Fahrrad,fahrrad,2,Mein Fahrrad,Moj bicikl
Harm,Der Schaden,(usually uncountable),Der,Schaden,schaden,0,Mein Schaden,Moja šteta
Pay,Der Lohn,Die Löhne,Der,Lohn,lohn,0,Mein Lohn,Moja nagrada
Prospect,Die Aussicht,Die Aussichten,Die,Aussicht,aussicht,1,Meine Aussicht,Moje mišljenje
Subway,Die U-Bahn,Die U-Bahnen,Die,U-Bahn,u-bahn,1,Meine U-Bahn,Moja podzemna željeznica
Sample,Das Muster,Die Muster,Das,Muster,muster,2,Mein Muster,Moj uzorak
Cherry,Die Kirsche,Die Kirschen,Die,Kirsche,kirsche,1,Meine Kirsche,Moja trešnja
Dealer,Der Händler,Die Händler,Der,Händler,händler,0,Mein Händler,Moj trgovac
Assignment,Die Aufgabe,Die Aufgaben,Die,Aufgabe,aufgabe,1,Meine Aufgabe,Moj zadatak
Hurry,Die Eile,(usually uncountable),Die,Eile,eile,1,Meine Eile,Moja žurba
Mistress,Die Geliebte,Die Geliebten,Die,Geliebte,geliebte,1,Meine Geliebte,Ljubljeni moj
Mound,Der Hügel,Die Hügel,Der,Hügel,hügel,0,Mein Hügel,Moje brdo
Nonsense,Der Unsinn,(usually uncountable),Der,Unsinn,unsinn,0,Mein Unsinn,Moje gluposti
Committee,Der Ausschuss,Die Ausschüsse,Der,Ausschuss,ausschuss,0,Mein Ausschuss,Moj odbor
Echo,Das Echo,Die Echos,Das,Echo,echo,2,Mein Echo,Moj odjek
Slack,Der Nachgiebigkeit,(usually uncountable),Der,Nachgiebigkeit,nachgiebigkeit,0,Mein Nachgiebigkeit,Moja usklađenost
Decker,Die Decker,(plural noun),Die,Decker,decker,1,Meine Decker,Moji Deckeri
Warehouse,Das Lager,Die Lager,Das,Lager,lager,2,Mein Lager,Moje skladište
Bout,Der Kampf,Die Kämpfe,Der,Kampf,kampf,0,Mein Kampf,Mein Kampf
Toast,Der Toast,Die Toasts,Der,Toast,toast,0,Mein Toast,Moja zdravica
Facility,Die Einrichtung,Die Einrichtungen,Die,Einrichtung,einrichtung,1,Meine Einrichtung,Moje postavljanje
Basketball,Der Basketball,(usually uncountable),Der,Basketball,basketball,0,Mein Basketball,Moja košarka
Mustache,Der Schnurrbart,Die Schnurrbärte,Der,Schnurrbart,schnurrbart,0,Mein Schnurrbart,Moji brkovi
Senator,Der Senator,Die Senatoren,Der,Senator,senator,0,Mein Senator,Moj senator
Share,Die Aktie,Die Aktien,Die,Aktie,aktie,1,Meine Aktie,Moj udio
Eyelid,Das Augenlid,Die Augenlider,Das,Augenlid,augenlid,2,Mein Augenlid,Moj kapak
Enthusiasm,Die Begeisterung,(usually uncountable),Die,Begeisterung,begeisterung,1,Meine Begeisterung,Moj entuzijazam
Chunk,Das Stück,Die Stücke,Das,Stück,stück,2,Mein Stück,Moj članak
Turtle,Die Schildkröte,Die Schildkröten,Die,Schildkröte,schildkröte,1,Meine Schildkröte,Moja kornjača
Alcohol,Der Alkohol,(usually uncountable),Der,Alkohol,alkohol,0,Mein Alkohol,Moj alkohol
Gum,Der Kaugummi,Die Kaugummis,Der,Kaugummi,kaugummi,0,Mein Kaugummi,Moja žvakaća guma
Turkey,Der Truthahn,Die Truthähne,Der,Truthahn,truthahn,0,Mein Truthahn,Moja puretina
Preacher,Der Prediger,Die Prediger,Der,Prediger,prediger,0,Mein Prediger,Moj propovjednik
Possession,Der Besitz,(usually uncountable),Der,Besitz,besitz,0,Mein Besitz,Moja imovina
Dolly,Die Sackkarre,Die Sackkarren,Die,Sackkarre,sackkarre,1,Meine Sackkarre,Moj kamion za vreće
Linen,Das Leinen,(usually uncountable),Das,Leinen,leinen,2,Mein Leinen,Moja posteljina
Apology,Die Entschuldigung,Die Entschuldigungen,Die,Entschuldigung,entschuldigung,1,Meine Entschuldigung,Ispričavam se
Lecture,Der Vortrag,Die Vorträge,Der,Vortrag,vortrag,0,Mein Vortrag,Moja prezentacija
Boulder,Der Fels,Die Felsen,Der,Fels,fels,0,Mein Fels,Moja stijena
Heap,Der Haufen,Die Haufen,Der,Haufen,haufen,0,Mein Haufen,Moja hrpa
Photographer,Der Fotograf,Die Fotografen,Der,Fotograf,fotograf,0,Mein Fotograf,Moj fotograf
Brake,Die Bremse,Die Bremsen,Die,Bremse,bremse,1,Meine Bremse,Moja kočnica
Demand,Die Nachfrage,Die Nachfragen,Die,Nachfrage,nachfrage,1,Meine Nachfrage,Moj zahtjev
Apron,Die Schürze,Die Schürzen,Die,Schürze,schürze,1,Meine Schürze,Moja pregača
Cloak,Der Umhang,Die Umhänge,Der,Umhang,umhang,0,Mein Umhang,Moj ogrtač
Jury,Die Jury,Die Jurys,Die,Jury,jury,1,Meine Jury,Moj žiri
Hearing,Die Anhörung,Die Anhörungen,Die,Anhörung,anhörung,1,Meine Anhörung,Moj sluh
Gray,Das Grau,(usually uncountable),Das,Grau,grau,2,Mein Grau,Moja siva
Crate,Die Kiste,Die Kisten,Die,Kiste,kiste,1,Meine Kiste,Moja kutija
Method,Die Methode,Die Methoden,Die,Methode,methode,1,Meine Methode,Moja metoda
Reference,Die Referenz,Die Referenzen,Die,Referenz,referenz,1,Meine Referenz,Moja referenca
Disgust,Der Ekel,(usually uncountable),Der,Ekel,ekel,0,Mein Ekel,Moje gađenje
Liquor,Der Schnaps,Die Schnäpse,Der,Schnaps,schnaps,0,Mein Schnaps,Moja rakija
Lipstick,Der Lippenstift,Die Lippenstifte,Der,Lippenstift,lippenstift,0,Mein Lippenstift,Moj ruž za usne
Core,Der Kern,Die Kerne,Der,Kern,kern,0,Mein Kern,Moja srž
Individual,Das Individuum,Die Individuen,Das,Individuum,individuum,2,Mein Individuum,Moj pojedinac
Container,Der Container,Die Container,Der,Container,container,0,Mein Container,Moj spremnik
Whore,Die Hure,Die Huren,Die,Hure,hure,1,Meine Hure,Moja kurva
Infant,Das Kleinkind,Die Kleinkinder,Das,Kleinkind,kleinkind,2,Mein Kleinkind,Moje dijete
Sunglasses,Die Sonnenbrille,Die Sonnenbrillen,Die,Sonnenbrille,sonnenbrille,1,Meine Sonnenbrille,Moje sunčane naočale
Hose,Die Hose,Die Hosen,Die,Hose,hose,1,Meine Hose,Moje hlače
Concert,Das Konzert,Die Konzerte,Das,Konzert,konzert,2,Mein Konzert,Moj koncert
Bullshit,Der Unsinn,(usually uncountable),Der,Unsinn,unsinn,0,Mein Unsinn,Moje gluposti
Railroad,Die Eisenbahn,Die Eisenbahnen,Die,Eisenbahn,eisenbahn,1,Meine Eisenbahn,Moja željeznica
Parade,Die Parade,Die Paraden,Die,Parade,parade,1,Meine Parade,Moja parada
Compartment,Das Abteil,Die Abteile,Das,Abteil,abteil,2,Mein Abteil,Moj pretinac
Resident,Der Bewohner,Die Bewohner,Der,Bewohner,bewohner,0,Mein Bewohner,Moj stanovnik
Oven,Der Ofen,Die Öfen,Der,Ofen,ofen,0,Mein Ofen,Moja pećnica
Technician,Der Techniker,Die Techniker,Der,Techniker,techniker,0,Mein Techniker,Moj tehničar
Procedure,Das Verfahren,Die Verfahren,Das,Verfahren,verfahren,2,Mein Verfahren,Moj postupak
Fighter,Der Kämpfer,Die Kämpfer,Der,Kämpfer,kämpfer,0,Mein Kämpfer,Moj borac
Grain,Das Korn,Die Körner,Das,Korn,korn,2,Mein Korn,Moje zrno
Picnic,Das Picknick,Die Picknicks,Das,Picknick,picknick,2,Mein Picknick,Moj piknik
Tribe,Der Stamm,Die Stämme,Der,Stamm,stamm,0,Mein Stamm,Moje pleme
Bud,Die Knospe,Die Knospen,Die,Knospe,knospe,1,Meine Knospe,Moj pupoljak
Meadow,Die Wiese,Die Wiesen,Die,Wiese,wiese,1,Meine Wiese,Moja livada
Public,Die Öffentlichkeit,(usually uncountable),Die,Öffentlichkeit,öffentlichkeit,1,Meine Öffentlichkeit,Moja javnost
Poison,Das Gift,Die Gifte,Das,Gift,gift,2,Mein Gift,Moj otrov
Buffalo,Der Büffel,Die Büffel,Der,Büffel,büffel,0,Mein Büffel,Moj bivol
Region,Die Region,Die Regionen,Die,Region,region,1,Meine Region,Moja regija
Production,Die Produktion,Die Produktionen,Die,Produktion,produktion,1,Meine Produktion,Moja produkcija
Running,Das Laufen,(usually uncountable),Das,Laufen,laufen,2,Mein Laufen,Moje trčanje
Loop,Die Schleife,Die Schleifen,Die,Schleife,schleife,1,Meine Schleife,Moj luk
Sleeping,Das Schlafen,(usually uncountable),Das,Schlafen,schlafen,2,Mein Schlafen,Moj san
Soda,Die Limonade,Die Limonaden,Die,Limonade,limonade,1,Meine Limonade,Moja limunada
Owl,Die Eule,Die Eulen,Die,Eule,eule,1,Meine Eule,Moja sova
Menu,Das Menü,Die Menüs,Das,Menü,menü,2,Mein Menü,Moj jelovnik
Kick,Der Tritt,Die Tritte,Der,Tritt,tritt,0,Mein Tritt,Moj udarac
Ruin,Der Ruin,Die Ruinen,Der,Ruin,ruin,0,Mein Ruin,Moja propast
Ramp,Die Rampe,Die Rampen,Die,Rampe,rampe,1,Meine Rampe,Moja rampa
Streak,Die Streif,Die Streifen,Die,Streif,streif,1,Meine Streif,Moj Streif
Forearm,Der Unterarm,Die Unterarme,Der,Unterarm,unterarm,0,Mein Unterarm,Moja podlaktica
Bureau,Das Büro,Die Büros,Das,Büro,büro,2,Mein Büro,Moj ured
Knuckle,Das Gelenk,Die Gelenke,Das,Gelenk,gelenk,2,Mein Gelenk,Moj zglob
Goose,Die Gans,Die Gänse,Die,Gans,gans,1,Meine Gans,Moja guska
Advance,Der Fortschritt,Die Fortschritte,Der,Fortschritt,fortschritt,0,Mein Fortschritt,Moj napredak
Fairy,Die Fee,Die Feen,Die,Fee,fee,1,Meine Fee,Moja vila
Illness,Die Krankheit,Die Krankheiten,Die,Krankheit,krankheit,1,Meine Krankheit,Moja bolest
Squad,Das Kommando,Die Kommandos,Das,Kommando,kommando,2,Mein Kommando,Moja zapovijed
Official,Der Beamte,Die Beamten,Der,Beamte,beamte,0,Mein Beamte,Moj službeni
Brand,Die Marke,Die Marken,Die,Marke,marke,1,Meine Marke,Moj brend
Organ,Das Organ,Die Organe,Das,Organ,organ,2,Mein Organ,Moje orgulje
Butterfly,Der Schmetterling,Die Schmetterlinge,Der,Schmetterling,schmetterling,0,Mein Schmetterling,Moj leptir
Empire,Das Imperium,Die Reiche,Das,Imperium,imperium,2,Mein Imperium,Moje carstvo
Profile,Das Profil,Die Profile,Das,Profil,profil,2,Mein Profil,Moj profil
Liberty,Die Freiheit,Die Freiheiten,Die,Freiheit,freiheit,1,Meine Freiheit,Moja sloboda
Disbelief,Der Unglaube,(usually uncountable),Der,Unglaube,unglaube,0,Mein Unglaube,Moja nevjerica
Grove,Der Hain,Die Haine,Der,Hain,hain,0,Mein Hain,Moj šumarak
Shield,Der Schild,Die Schilde,Der,Schild,schild,0,Mein Schild,Moj štit
Saddle,Der Sattel,Die Sättel,Der,Sattel,sattel,0,Mein Sattel,Moje sedlo
Odds,Die Chancen,(plural noun),Die,Chancen,chancen,1,Meine Chancen,Moje šanse
Cluster,Der Cluster,Die Cluster,Der,Cluster,cluster,0,Mein Cluster,Moj klaster
Satellite,Der Satellit,Die Satelliten,Der,Satellit,satellit,0,Mein Satellit,Moj satelit
Trigger,Der Auslöser,Die Auslöser,Der,Auslöser,auslöser,0,Mein Auslöser,Moj okidač
Puppy,Der Welpe,Die Welpen,Der,Welpe,welpe,0,Mein Welpe,Moje štene
Waiting,Das Warten,(usually uncountable),Das,Warten,warten,2,Mein Warten,Moje čekanje
Bulb,Die Glühbirne,Die Glühbirnen,Die,Glühbirne,glühbirne,1,Meine Glühbirne,Moja žarulja
Dresser,Die Kommode,Die Kommoden,Die,Kommode,kommode,1,Meine Kommode,Moja komoda
Patrol,Die Patrouille,Die Patrouillen,Die,Patrouille,patrouille,1,Meine Patrouille,Moja patrola
Eagle,Der Adler,Die Adler,Der,Adler,adler,0,Mein Adler,Moj orao
Privacy,Die Privatsphäre,(no plural form),Die,Privatsphäre,privatsphäre,1,Meine Privatsphäre,Moja privatnost
Fluid,Die Flüssigkeit,Die Flüssigkeiten,Die,Flüssigkeit,flüssigkeit,1,Meine Flüssigkeit,Moja tekućina
Herd,Die Herde,(plural noun),Die,Herde,herde,1,Meine Herde,Moje stado
Headache,Die Kopfschmerzen,(plural noun),Die,Kopfschmerzen,kopfschmerzen,1,Meine Kopfschmerzen,Moja glavobolja
Amusement,Die Unterhaltung,Die Unterhaltungen,Die,Unterhaltung,unterhaltung,1,Meine Unterhaltung,Moj razgovor
Wheelchair,Der Rollstuhl,Die Rollstühle,Der,Rollstuhl,rollstuhl,0,Mein Rollstuhl,Moja invalidska kolica
Policy,Die Politik,(usually uncountable),Die,Politik,politik,1,Meine Politik,Moja pravila
Belle,Die Schönheit,Die Schönheiten,Die,Schönheit,schönheit,1,Meine Schönheit,Moja ljepota
Tobacco,Der Tabak,(usually uncountable),Der,Tabak,tabak,0,Mein Tabak,Moj duhan
Setting,Die Einstellung,Die Einstellungen,Die,Einstellung,einstellung,1,Meine Einstellung,Moj stav
Tattoo,Das Tattoo,Die Tattoos,Das,Tattoo,tattoo,2,Mein Tattoo,Moja tetovaža
Burden,Die Belastung,Die Belastungen,Die,Belastung,belastung,1,Meine Belastung,Moj teret
Merchant,Der Händler,Die Händler,Der,Händler,händler,0,Mein Händler,Moj trgovac
Slide,Die Rutsche,Die Rutschen,Die,Rutsche,rutsche,1,Meine Rutsche,Moj slajd
Stain,Der Fleck,Die Flecken,Der,Fleck,fleck,0,Mein Fleck,Moja mrlja
Eating,Das Essen,(usually uncountable),Das,Essen,essen,2,Mein Essen,Moja hrana
Bond,Die Bindung,Die Bindungen,Die,Bindung,bindung,1,Meine Bindung,Moje uvezivanje
Swimming,Das Schwimmen,(usually uncountable),Das,Schwimmen,schwimmen,2,Mein Schwimmen,Moje plivanje
Foundation,Die Stiftung,Die Stiftungen,Die,Stiftung,stiftung,1,Meine Stiftung,Moj temelj
Injury,Die Verletzung,Die Verletzungen,Die,Verletzung,verletzung,1,Meine Verletzung,Moja ozljeda
League,Die Liga,Die Ligen,Die,Liga,liga,1,Meine Liga,Moja liga
Battery,Die Batterie,Die Batterien,Die,Batterie,batterie,1,Meine Batterie,Moja baterija
Umbrella,Der Regenschirm,Die Regenschirme,Der,Regenschirm,regenschirm,0,Mein Regenschirm,Moj kišobran
Emperor,Der Kaiser,Die Kaiser,Der,Kaiser,kaiser,0,Mein Kaiser,Moj car
Pier,Der Pier,Die Piers,Der,Pier,pier,0,Mein Pier,Moj pristanište
Tap,Der Wasserhahn,Die Wasserhähne,Der,Wasserhahn,wasserhahn,0,Mein Wasserhahn,Moja slavina
Wit,Das Witz,Die Witze,Das,Witz,witz,2,Mein Witz,Moja šala
Cutter,Der Cutter,Die Cutter,Der,Cutter,cutter,0,Mein Cutter,Moj rezač
Attic,Der Dachboden,Die Dachböden,Der,Dachboden,dachboden,0,Mein Dachboden,Moje potkrovlje
Tiger,Der Tiger,Die Tiger,Der,Tiger,tiger,0,Mein Tiger,Moj tigar
Pal,Der Freund,Die Freunde,Der,Freund,freund,0,Mein Freund,Moj prijatelj
Ancestor,Der Vorfahr,Die Vorfahren,Der,Vorfahr,vorfahr,0,Mein Vorfahr,Moj predak
Concentration,Die Konzentration,(usually uncountable),Die,Konzentration,konzentration,1,Meine Konzentration,Moja koncentracija
Mount,Der Berg,Die Berge,Der,Berg,berg,0,Mein Berg,Moja planina
Expense,Die Kosten,(plural noun),Die,Kosten,kosten,1,Meine Kosten,Moji troškovi
Blessing,Der Segen,Die Segen,Der,Segen,segen,0,Mein Segen,Moj blagoslov
Leave,Der Urlaub,(usually uncountable),Der,Urlaub,urlaub,0,Mein Urlaub,Moj odmor
Ledge,Der Vorsprung,Die Vorsprünge,Der,Vorsprung,vorsprung,0,Mein Vorsprung,Moj trag
