english,singular,plural,article,noun,x,y,sing+plural,catalan
Curse,Der Fluch,Die Flüche,Der,Fluch,fluch,0,"Der Fluch, Die Flüche","La maledicció, les malediccions"
Staircase,Das Treppenhaus,Die Treppenhäuser,Das,Treppenhaus,treppenhaus,2,"Das Treppenhaus, Die Treppenhäuser","L'escala, les escales"
Urge,Der Drang,Die Dränge,Der,Drang,drang,0,"Der Drang, Die Dränge","L'impuls, els impulsos"
Frustration,Die Frustration,(usually uncountable),Die,Frustration,frustration,1,"Die Frustration, (usually uncountable)","La frustració, -"
Pump,Die Pumpe,Die Pumpen,Die,Pumpe,pumpe,1,"Die Pumpe, Die Pumpen","La bomba, les bombes"
Ease,Die Leichtigkeit,(usually uncountable),Die,Leichtigkeit,leichtigkeit,1,"Die Leichtigkeit, (usually uncountable)","La lleugeresa, -"
Count,Der Graf,Die Grafen,Der,Graf,graf,0,"Der Graf, Die Grafen","El comte, els comtes"
Solution,Die Lösung,Die Lösungen,Die,Lösung,lösung,1,"Die Lösung, Die Lösungen","La solució, les solucions"
Jewelry,Der Schmuck,(usually uncountable),Der,Schmuck,schmuck,0,"Der Schmuck, (usually uncountable)","la joia, les joies"
Siren,Die Sirene,Die Sirenen,Die,Sirene,sirene,1,"Die Sirene, Die Sirenen","La sirena, les sirenes"
Hit,Der Hit,Die Hits,Der,Hit,hit,0,"Der Hit, Die Hits","L'èxit, els èxits"
Tradition,Die Tradition,Die Traditionen,Die,Tradition,tradition,1,"Die Tradition, Die Traditionen","La tradició, les tradicions"
Curb,Der Bordstein,Die Bordsteine,Der,Bordstein,bordstein,0,"Der Bordstein, Die Bordsteine","La vorera, les vorades"
Variety,Die Vielfalt,Die Vielfalten,Die,Vielfalt,vielfalt,1,"Die Vielfalt, Die Vielfalten","La varietat, la multiplicitat"
Pirate,Der Pirat,Die Piraten,Der,Pirat,pirat,0,"Der Pirat, Die Piraten","El pirata, els pirates"
Description,Die Beschreibung,Die Beschreibungen,Die,Beschreibung,beschreibung,1,"Die Beschreibung, Die Beschreibungen","La descripció, les descripcions"
Dear,Der Liebling,Die Lieblinge,Der,Liebling,liebling,0,"Der Liebling, Die Lieblinge","L'estimada, els favorits"
Anxiety,Die Angst,Die Ängste,Die,Angst,angst,1,"Die Angst, Die Ängste","La por, les pors"
Pitch,Die Tonhöhe,Die Tonhöhen,Die,Tonhöhe,tonhöhe,1,"Die Tonhöhe, Die Tonhöhen","El camp, els llançaments"
Pizza,Die Pizza,Die Pizzen,Die,Pizza,pizza,1,"Die Pizza, Die Pizzen","La pizza, les pizzes"
Elephant,Der Elefant,Die Elefanten,Der,Elefant,elefant,0,"Der Elefant, Die Elefanten","L'elefant, els elefants"
Politics,Die Politik,(usually uncountable),Die,Politik,politik,1,"Die Politik, (usually uncountable)","la Política, -"
Tennis,Das Tennis,(usually uncountable),Das,Tennis,tennis,2,"Das Tennis, (usually uncountable)","el Tennis, -"
Hunger,Der Hunger,(usually uncountable),Der,Hunger,hunger,0,"Der Hunger, (usually uncountable)","la Fam, -"
Genius,Das Genie,Die Genies,Das,Genie,genie,2,"Das Genie, Die Genies","El geni, els genis"
Goat,Die Ziege,Die Ziegen,Die,Ziege,ziege,1,"Die Ziege, Die Ziegen","La cabra, les cabres"
Victory,Der Sieg,Die Siege,Der,Sieg,sieg,0,"Der Sieg, Die Siege","La victòria, les victòries"
Combination,Die Kombination,Die Kombinationen,Die,Kombination,kombination,1,"Die Kombination, Die Kombinationen","La combinació, les combinacions"
Affiliation,Die Zugehörigkeit,Die Zugehörigkeiten,Die,Zugehörigkeit,zugehörigkeit,1,"Die Zugehörigkeit, Die Zugehörigkeiten","L'afiliació, les afiliacions"
Momma,Die Mama,Die Mamas,Die,Mama,mama,1,"Die Mama, Die Mamas","La mare, les mares"
Cape,Das Kap,Die Kaps,Das,Kap,kap,2,"Das Kap, Die Kaps","El Cap, els Caps"
Headlight,Der Scheinwerfer,Die Scheinwerfer,Der,Scheinwerfer,scheinwerfer,0,"Der Scheinwerfer, Die Scheinwerfer","El focus, els focus"
Governor,Der Gouverneur,Die Gouverneure,Der,Gouverneur,gouverneur,0,"Der Gouverneur, Die Gouverneure","El governador, els governadors"
Oxygen,Der Sauerstoff,(usually uncountable),Der,Sauerstoff,sauerstoff,0,"Der Sauerstoff, (usually uncountable)","L'oxigen, els oxigens"
Bishop,Der Bischof,Die Bischöfe,Der,Bischof,bischof,0,"Der Bischof, Die Bischöfe","El bisbe, els bisbes"
Bundle,Das Bündel,Die Bündel,Das,Bündel,bündel,2,"Das Bündel, Die Bündel","El paquet, els paquets"
Development,Die Entwicklung,Die Entwicklungen,Die,Entwicklung,entwicklung,1,"Die Entwicklung, Die Entwicklungen","El desenvolupament, els desenvolupaments"
Fingernail,Der Fingernagel,Die Fingernägel,Der,Fingernagel,fingernagel,0,"Der Fingernagel, Die Fingernägel","L'ungla, les ungles"
Score,Der Punktestand,Die Punktestände,Der,Punktestand,punktestand,0,"Der Punktestand, Die Punktestände","La puntuació, les puntuacions"
Mate,Der Kamerad,Die Kameraden,Der,Kamerad,kamerad,0,"Der Kamerad, Die Kameraden","El camarada, els camarades"
Rider,Der Reiter,Die Reiter,Der,Reiter,reiter,0,"Der Reiter, Die Reiter","El genet, els genets"
Orbit,Die Umlaufbahn,Die Umlaufbahnen,Die,Umlaufbahn,umlaufbahn,1,"Die Umlaufbahn, Die Umlaufbahnen","L'òrbita, les òrbites"
Vine,Die Rebe,Die Reben,Die,Rebe,rebe,1,"Die Rebe, Die Reben","La vinya, les vinyes"
Suite,Die Suite,Die Suiten,Die,Suite,suite,1,"Die Suite, Die Suiten","La Suite, Les Suites"
Bartender,Der Barkeeper,Die Barkeeper,Der,Barkeeper,barkeeper,0,"Der Barkeeper, Die Barkeeper","El cambrer, els cambrers"
Coke,Die Cola,(usually uncountable),Die,Cola,cola,1,"Die Cola, (usually uncountable)","La Coca-Cola, -"
Tune,Die Melodie,Die Melodien,Die,Melodie,melodie,1,"Die Melodie, Die Melodien","La melodia, les melodies"
Glory,Der Ruhm,(usually uncountable),Der,Ruhm,ruhm,0,"Der Ruhm, (usually uncountable)","La fama, -"
Rabbi,Der Rabbi,(plural form is Rabbiner),Der,Rabbi,rabbi,0,"Der Rabbi, (plural form is Rabbiner)","El rabí, (la forma plural és Rabbiner)"
Surgery,Die Operation,Die Operationen,Die,Operation,operation,1,"Die Operation, Die Operationen","L'operació, les operacions"
Cattle,Das Rindvieh,(usually uncountable),Das,Rindvieh,rindvieh,2,"Das Rindvieh, (usually uncountable)","El bestiar, -"
Ritual,Das Ritual,Die Rituale,Das,Ritual,ritual,2,"Das Ritual, Die Rituale","El ritual, els rituals"
Greeting,Der Gruß,Die Grüße,Der,Gruß,gruß,0,"Der Gruß, Die Grüße","Les salutacions, les salutacions"
Slice,Die Scheibe,Die Scheiben,Die,Scheibe,scheibe,1,"Die Scheibe, Die Scheiben","El disc, els discos"
Homer,Der Homer,Die Homers,Der,Homer,homer,0,"Der Homer, Die Homers","L'Homer, els Homers"
Fireplace,Der Kamin,Die Kamine,Der,Kamin,kamin,0,"Der Kamin, Die Kamine","La xemeneia, les xemeneies"
Jersey,Das Trikot,Die Trikots,Das,Trikot,trikot,2,"Das Trikot, Die Trikots","La samarreta, les samarretes"
Media,Die Medien,(plural noun),Die,Medien,medien,1,"Die Medien, (plural noun)","el mitjà, els mitjans"
Pop,Der Knall,Die Knalle,Der,Knall,knall,0,"Der Knall, Die Knalle","L'explosió, les explosions"
Cargo,Die Ladung,Die Ladungen,Die,Ladung,ladung,1,"Die Ladung, Die Ladungen","La càrrega, les càrregues"
Inn,Die Herberge,Die Herbergen,Die,Herberge,herberge,1,"Die Herberge, Die Herbergen","L'alberg, els albergs"
Deputy,Der Stellvertreter,Die Stellvertreter,Der,Stellvertreter,stellvertreter,0,"Der Stellvertreter, Die Stellvertreter","El diputat, els diputats"
Despair,Die Verzweiflung,(usually uncountable),Die,Verzweiflung,verzweiflung,1,"Die Verzweiflung, (usually uncountable)","la Desesperació, -"
Territory,Das Gebiet,Die Gebiete,Das,Gebiet,gebiet,2,"Das Gebiet, Die Gebiete","La zona, els territoris"
Punch,Der Schlag,Die Schläge,Der,Schlag,schlag,0,"Der Schlag, Die Schläge","El cop, els cops"
Jazz,Der Jazz,(usually uncountable),Der,Jazz,jazz,0,"Der Jazz, (usually uncountable)","el Jazz, els jazzos"
Hug,Die Umarmung,Die Umarmungen,Die,Umarmung,umarmung,1,"Die Umarmung, Die Umarmungen","L'abraçada, les abraçades"
Whistle,Die Pfeife,Die Pfeifen,Die,Pfeife,pfeife,1,"Die Pfeife, Die Pfeifen","La canonada, les canonades"
Humanity,Die Menschheit,(usually uncountable),Die,Menschheit,menschheit,1,"Die Menschheit, (usually uncountable)","La humanitat, -"
Craft,Das Handwerk,Die Handwerke,Das,Handwerk,handwerk,2,"Das Handwerk, Die Handwerke","L'artesania, les artesanies"
Daylight,Das Tageslicht,(usually uncountable),Das,Tageslicht,tageslicht,2,"Das Tageslicht, (usually uncountable)","la Llum, -"
Worth,Der Wert,Die Werte,Der,Wert,wert,0,"Der Wert, Die Werte","El valor, els valors"
Slip,Die Einlage,Die Einlagen,Die,Einlage,einlage,1,"Die Einlage, Die Einlagen","El dipòsit, els dipòsits"
Armor,Die Rüstung,Die Rüstungen,Die,Rüstung,rüstung,1,"Die Rüstung, Die Rüstungen","L'armadura, les armadures"
Backpack,Der Rucksack,Die Rucksäcke,Der,Rucksack,rucksack,0,"Der Rucksack, Die Rucksäcke","La motxilla, les motxilles"
Suggestion,Der Vorschlag,Die Vorschläge,Der,Vorschlag,vorschlag,0,"Der Vorschlag, Die Vorschläge","La proposta, les propostes"
Den,Die Höhle,Die Höhlen,Die,Höhle,höhle,1,"Die Höhle, Die Höhlen","La cova, les coves"
Symbol,Das Symbol,Die Symbole,Das,Symbol,symbol,2,"Das Symbol, Die Symbole","El símbol, els símbols"
Colony,Die Kolonie,Die Kolonien,Die,Kolonie,kolonie,1,"Die Kolonie, Die Kolonien","La colònia, les colònies"
Conclusion,Der Schluss,Die Schlüsse,Der,Schluss,schluss,0,"Der Schluss, Die Schlüsse","La conclusió, les conclusions"
Nostril,Das Nasenloch,Die Nasenlöcher,Das,Nasenloch,nasenloch,2,"Das Nasenloch, Die Nasenlöcher","La fossa nasal, les fosses nasals"
Spear,Der Speer,Die Speere,Der,Speer,speer,0,"Der Speer, Die Speere","La llança, les llances"
Impulse,Der Impuls,Die Impulse,Der,Impuls,impuls,0,"Der Impuls, Die Impulse","L'impuls, els impulsos"
Tomato,Die Tomate,Die Tomaten,Die,Tomate,tomate,1,"Die Tomate, Die Tomaten","el Tomàquet, els tomàquets"
Calf,Das Kalb,Die Kälber,Das,Kalb,kalb,2,"Das Kalb, Die Kälber","El vedell, els vedells"
Autumn,Der Herbst,(usually uncountable),Der,Herbst,herbst,0,"Der Herbst, (usually uncountable)","la Tardor, les tardors"
Discovery,Die Entdeckung,Die Entdeckungen,Die,Entdeckung,entdeckung,1,"Die Entdeckung, Die Entdeckungen","El descobriment, els descobriments"
Classroom,Das Klassenzimmer,Die Klassenzimmer,Das,Klassenzimmer,klassenzimmer,2,"Das Klassenzimmer, Die Klassenzimmer","L'aula, les aules"
Delivery,Die Lieferung,Die Lieferungen,Die,Lieferung,lieferung,1,"Die Lieferung, Die Lieferungen","El lliurament, els lliuraments"
Spray,Das Spray,Die Sprays,Das,Spray,spray,2,"Das Spray, Die Sprays","L'esprai, els esprais"
Liquid,Die Flüssigkeit,Die Flüssigkeiten,Die,Flüssigkeit,flüssigkeit,1,"Die Flüssigkeit, Die Flüssigkeiten","El líquid, els líquids"
Fuel,Der Treibstoff,(usually uncountable),Der,Treibstoff,treibstoff,0,"Der Treibstoff, (usually uncountable)","El combustible, -"
Underwear,Die Unterwäsche,(no plural form),Die,Unterwäsche,unterwäsche,1,"Die Unterwäsche, (no plural form)","la roba, les robes"
Dome,Die Kuppel,Die Kuppeln,Die,Kuppel,kuppel,1,"Die Kuppel, Die Kuppeln","La cúpula, les cúpules"
Population,Die Bevölkerung,(usually uncountable),Die,Bevölkerung,bevölkerung,1,"Die Bevölkerung, (usually uncountable)","La població, -"
Affection,Die Zuneigung,(usually uncountable),Die,Zuneigung,zuneigung,1,"Die Zuneigung, (usually uncountable)","L'afecte, els afectes"
Religion,Die Religion,Die Religionen,Die,Religion,religion,1,"Die Religion, Die Religionen","la Religió, les Religions"
Singer,Der Sänger,Die Sängerinnen,Der,Sänger,sänger,0,"Der Sänger, Die Sängerinnen",el cantant -
Attendant,Der Bedienstete,Die Bediensteten,Der,Bedienstete,bedienstete,0,"Der Bedienstete, Die Bediensteten","El membre del personal, el personal"
Illusion,Die Illusion,Die Illusionen,Die,Illusion,illusion,1,"Die Illusion, Die Illusionen","La il·lusió, les il·lusions"
Link,Der Link,Die Links,Der,Link,link,0,"Der Link, Die Links","L'enllaç, els enllaços"
Lounge,Die Lounge,Die Lounges,Die,Lounge,lounge,1,"Die Lounge, Die Lounges","El saló, els salons"
Interior,Das Innere,Die Innenräume,Das,Innere,innere,2,"Das Innere, Die Innenräume","L'interior, els interiors"
Shrug,Das Achselzucken,(usually uncountable),Das,Achselzucken,achselzucken,2,"Das Achselzucken, (usually uncountable)","L'encongiment, els encongiments"
Zone,Die Zone,Die Zonen,Die,Zone,zone,1,"Die Zone, Die Zonen","La zona, les zones"
Standard,Der Standard,Die Standards,Der,Standard,standard,0,"Der Standard, Die Standards","L'estàndard, els estàndards"
Coal,Die Kohle,(usually uncountable),Die,Kohle,kohle,1,"Die Kohle, (usually uncountable)","El carbó, -"
Chase,Die Jagd,Die Jagden,Die,Jagd,jagd,1,"Die Jagd, Die Jagden","La caça, les caceres"
Lump,Der Kloß,Die Klöße,Der,Kloß,kloß,0,"Der Kloß, Die Klöße","La boleta, les boletes"
Charm,Der Charme,Die Charmes,Der,Charme,charme,0,"Der Charme, Die Charmes","L'encant, els encants"
Legend,Die Legende,Die Legenden,Die,Legende,legende,1,"Die Legende, Die Legenden","La llegenda, les llegendes"
Consequence,Die Konsequenz,Die Konsequenzen,Die,Konsequenz,konsequenz,1,"Die Konsequenz, Die Konsequenzen","La conseqüència, les conseqüències"
Observation,Die Beobachtung,Die Beobachtungen,Die,Beobachtung,beobachtung,1,"Die Beobachtung, Die Beobachtungen","L'observació, les observacions"
Bicycle,Das Fahrrad,Die Fahrräder,Das,Fahrrad,fahrrad,2,"Das Fahrrad, Die Fahrräder","La bicicleta, les bicicletes"
Harm,Der Schaden,(usually uncountable),Der,Schaden,schaden,0,"Der Schaden, (usually uncountable)","el dany, -"
Pay,Der Lohn,Die Löhne,Der,Lohn,lohn,0,"Der Lohn, Die Löhne","Els salaris, els salaris"
Prospect,Die Aussicht,Die Aussichten,Die,Aussicht,aussicht,1,"Die Aussicht, Die Aussichten","La vista, les vistes"
Subway,Die U-Bahn,Die U-Bahnen,Die,U-Bahn,u-bahn,1,"Die U-Bahn, Die U-Bahnen","El metro, el metro"
Sample,Das Muster,Die Muster,Das,Muster,muster,2,"Das Muster, Die Muster","El patró, els patrons"
Cherry,Die Kirsche,Die Kirschen,Die,Kirsche,kirsche,1,"Die Kirsche, Die Kirschen","La cirera, les cireres"
Dealer,Der Händler,Die Händler,Der,Händler,händler,0,"Der Händler, Die Händler","El comerciant, els comerciants"
Assignment,Die Aufgabe,Die Aufgaben,Die,Aufgabe,aufgabe,1,"Die Aufgabe, Die Aufgaben","La tasca, les tasques"
Hurry,Die Eile,(usually uncountable),Die,Eile,eile,1,"Die Eile, (usually uncountable)","La pressa, -"
Mistress,Die Geliebte,Die Geliebten,Die,Geliebte,geliebte,1,"Die Geliebte, Die Geliebten","L'estimat, els estimats"
Mound,Der Hügel,Die Hügel,Der,Hügel,hügel,0,"Der Hügel, Die Hügel","El turó, els turons"
Nonsense,Der Unsinn,(usually uncountable),Der,Unsinn,unsinn,0,"Der Unsinn, (usually uncountable)","l'absurd, els absurds"
Committee,Der Ausschuss,Die Ausschüsse,Der,Ausschuss,ausschuss,0,"Der Ausschuss, Die Ausschüsse","El Comitè, els Comitès"
Echo,Das Echo,Die Echos,Das,Echo,echo,2,"Das Echo, Die Echos","L'eco, els ecos"
Slack,Der Nachgiebigkeit,(usually uncountable),Der,Nachgiebigkeit,nachgiebigkeit,0,"Der Nachgiebigkeit, (usually uncountable)","la lleva, les lleves"
Decker,Die Decker,(plural noun),Die,Decker,decker,1,"Die Decker, (plural noun)","la manta, les mantes"
Warehouse,Das Lager,Die Lager,Das,Lager,lager,2,"Das Lager, Die Lager","El campament, els campaments"
Bout,Der Kampf,Die Kämpfe,Der,Kampf,kampf,0,"Der Kampf, Die Kämpfe","La lluita, les baralles"
Toast,Der Toast,Die Toasts,Der,Toast,toast,0,"Der Toast, Die Toasts","Les torrades, les torrades"
Facility,Die Einrichtung,Die Einrichtungen,Die,Einrichtung,einrichtung,1,"Die Einrichtung, Die Einrichtungen","La instal·lació, les instal·lacions"
Basketball,Der Basketball,(usually uncountable),Der,Basketball,basketball,0,"Der Basketball, (usually uncountable)","El bàsquet, -"
Mustache,Der Schnurrbart,Die Schnurrbärte,Der,Schnurrbart,schnurrbart,0,"Der Schnurrbart, Die Schnurrbärte","El bigoti, els bigotis"
Senator,Der Senator,Die Senatoren,Der,Senator,senator,0,"Der Senator, Die Senatoren","El senador, els senadors"
Share,Die Aktie,Die Aktien,Die,Aktie,aktie,1,"Die Aktie, Die Aktien","L'acció, les accions"
Eyelid,Das Augenlid,Die Augenlider,Das,Augenlid,augenlid,2,"Das Augenlid, Die Augenlider","La parpella, les parpelles"
Enthusiasm,Die Begeisterung,(usually uncountable),Die,Begeisterung,begeisterung,1,"Die Begeisterung, (usually uncountable)","L'entusiasme, els entusiasmes"
Chunk,Das Stück,Die Stücke,Das,Stück,stück,2,"Das Stück, Die Stücke","El joc, les peces"
Turtle,Die Schildkröte,Die Schildkröten,Die,Schildkröte,schildkröte,1,"Die Schildkröte, Die Schildkröten","La tortuga, les tortugues"
Alcohol,Der Alkohol,(usually uncountable),Der,Alkohol,alkohol,0,"Der Alkohol, (usually uncountable)","L'alcohol, els alcohols"
Gum,Der Kaugummi,Die Kaugummis,Der,Kaugummi,kaugummi,0,"Der Kaugummi, Die Kaugummis","El xiclet, els xiclets"
Turkey,Der Truthahn,Die Truthähne,Der,Truthahn,truthahn,0,"Der Truthahn, Die Truthähne","El gall, els galls"
Preacher,Der Prediger,Die Prediger,Der,Prediger,prediger,0,"Der Prediger, Die Prediger","El predicador, els predicadors"
Possession,Der Besitz,(usually uncountable),Der,Besitz,besitz,0,"Der Besitz, (usually uncountable)","la Possessió, les possessions"
Dolly,Die Sackkarre,Die Sackkarren,Die,Sackkarre,sackkarre,1,"Die Sackkarre, Die Sackkarren","El camió, els camions"
Linen,Das Leinen,(usually uncountable),Das,Leinen,leinen,2,"Das Leinen, (usually uncountable)","La roba, -"
Apology,Die Entschuldigung,Die Entschuldigungen,Die,Entschuldigung,entschuldigung,1,"Die Entschuldigung, Die Entschuldigungen","La disculpa, les disculpes"
Lecture,Der Vortrag,Die Vorträge,Der,Vortrag,vortrag,0,"Der Vortrag, Die Vorträge","La conferència, les conferències"
Boulder,Der Fels,Die Felsen,Der,Fels,fels,0,"Der Fels, Die Felsen","La roca, les roques"
Heap,Der Haufen,Die Haufen,Der,Haufen,haufen,0,"Der Haufen, Die Haufen","El munt, el munt"
Photographer,Der Fotograf,Die Fotografen,Der,Fotograf,fotograf,0,"Der Fotograf, Die Fotografen","El fotògraf, els fotògrafs"
Brake,Die Bremse,Die Bremsen,Die,Bremse,bremse,1,"Die Bremse, Die Bremsen","Els frens, els frens"
Demand,Die Nachfrage,Die Nachfragen,Die,Nachfrage,nachfrage,1,"Die Nachfrage, Die Nachfragen","La demanda, les demandes"
Apron,Die Schürze,Die Schürzen,Die,Schürze,schürze,1,"Die Schürze, Die Schürzen","El davantal, els davantals"
Cloak,Der Umhang,Die Umhänge,Der,Umhang,umhang,0,"Der Umhang, Die Umhänge","La capa, les capes"
Jury,Die Jury,Die Jurys,Die,Jury,jury,1,"Die Jury, Die Jurys","El jurat, els jurats"
Hearing,Die Anhörung,Die Anhörungen,Die,Anhörung,anhörung,1,"Die Anhörung, Die Anhörungen","L'audiència, les audiències"
Gray,Das Grau,(usually uncountable),Das,Grau,grau,2,"Das Grau, (usually uncountable)","el gris, els grisos"
Crate,Die Kiste,Die Kisten,Die,Kiste,kiste,1,"Die Kiste, Die Kisten","La caixa, les caixes"
Method,Die Methode,Die Methoden,Die,Methode,methode,1,"Die Methode, Die Methoden","El mètode, els mètodes"
Reference,Die Referenz,Die Referenzen,Die,Referenz,referenz,1,"Die Referenz, Die Referenzen","La referència, les referències"
Disgust,Der Ekel,(usually uncountable),Der,Ekel,ekel,0,"Der Ekel, (usually uncountable)","El fàstic, -"
Liquor,Der Schnaps,Die Schnäpse,Der,Schnaps,schnaps,0,"Der Schnaps, Die Schnäpse","L'aiguardent, els aiguardents"
Lipstick,Der Lippenstift,Die Lippenstifte,Der,Lippenstift,lippenstift,0,"Der Lippenstift, Die Lippenstifte","el pintallavis, els pintallavis"
Core,Der Kern,Die Kerne,Der,Kern,kern,0,"Der Kern, Die Kerne","El nucli, els nuclis"
Individual,Das Individuum,Die Individuen,Das,Individuum,individuum,2,"Das Individuum, Die Individuen","L'individu, els individus"
Container,Der Container,Die Container,Der,Container,container,0,"Der Container, Die Container","El contenidor, els contenidors"
Whore,Die Hure,Die Huren,Die,Hure,hure,1,"Die Hure, Die Huren","La puta, les putes"
Infant,Das Kleinkind,Die Kleinkinder,Das,Kleinkind,kleinkind,2,"Das Kleinkind, Die Kleinkinder","El nen petit, els nens petits"
Sunglasses,Die Sonnenbrille,Die Sonnenbrillen,Die,Sonnenbrille,sonnenbrille,1,"Die Sonnenbrille, Die Sonnenbrillen","l'ullera, les ulleres"
Hose,Die Hose,Die Hosen,Die,Hose,hose,1,"Die Hose, Die Hosen","Els pantalons, els pantalons"
Concert,Das Konzert,Die Konzerte,Das,Konzert,konzert,2,"Das Konzert, Die Konzerte","El Concert, Els Concerts"
Bullshit,Der Unsinn,(usually uncountable),Der,Unsinn,unsinn,0,"Der Unsinn, (usually uncountable)","l'absurd, els absurds"
Railroad,Die Eisenbahn,Die Eisenbahnen,Die,Eisenbahn,eisenbahn,1,"Die Eisenbahn, Die Eisenbahnen","El ferrocarril, els ferrocarrils"
Parade,Die Parade,Die Paraden,Die,Parade,parade,1,"Die Parade, Die Paraden","La desfilada, les desfilades"
Compartment,Das Abteil,Die Abteile,Das,Abteil,abteil,2,"Das Abteil, Die Abteile","El compartiment, els compartiments"
Resident,Der Bewohner,Die Bewohner,Der,Bewohner,bewohner,0,"Der Bewohner, Die Bewohner","El resident, els residents"
Oven,Der Ofen,Die Öfen,Der,Ofen,ofen,0,"Der Ofen, Die Öfen","El forn, els forns"
Technician,Der Techniker,Die Techniker,Der,Techniker,techniker,0,"Der Techniker, Die Techniker","El tècnic, els tècnics"
Procedure,Das Verfahren,Die Verfahren,Das,Verfahren,verfahren,2,"Das Verfahren, Die Verfahren","El procediment, els procediments"
Fighter,Der Kämpfer,Die Kämpfer,Der,Kämpfer,kämpfer,0,"Der Kämpfer, Die Kämpfer","El lluitador, els lluitadors"
Grain,Das Korn,Die Körner,Das,Korn,korn,2,"Das Korn, Die Körner","El gra, els grans"
Picnic,Das Picknick,Die Picknicks,Das,Picknick,picknick,2,"Das Picknick, Die Picknicks","El pícnic, els pícnics"
Tribe,Der Stamm,Die Stämme,Der,Stamm,stamm,0,"Der Stamm, Die Stämme","La tribu, les tribus"
Bud,Die Knospe,Die Knospen,Die,Knospe,knospe,1,"Die Knospe, Die Knospen","El brot, els cabdells"
Meadow,Die Wiese,Die Wiesen,Die,Wiese,wiese,1,"Die Wiese, Die Wiesen","El prat, els prats"
Public,Die Öffentlichkeit,(usually uncountable),Die,Öffentlichkeit,öffentlichkeit,1,"Die Öffentlichkeit, (usually uncountable)","El públic, -"
Poison,Das Gift,Die Gifte,Das,Gift,gift,2,"Das Gift, Die Gifte","El verí, els verins"
Buffalo,Der Büffel,Die Büffel,Der,Büffel,büffel,0,"Der Büffel, Die Büffel","El búfal, el búfal"
Region,Die Region,Die Regionen,Die,Region,region,1,"Die Region, Die Regionen","La regió, les regions"
Production,Die Produktion,Die Produktionen,Die,Produktion,produktion,1,"Die Produktion, Die Produktionen","La producció, les produccions"
Running,Das Laufen,(usually uncountable),Das,Laufen,laufen,2,"Das Laufen, (usually uncountable)","el córrer, els córrers"
Loop,Die Schleife,Die Schleifen,Die,Schleife,schleife,1,"Die Schleife, Die Schleifen","El bucle, els bucles"
Sleeping,Das Schlafen,(usually uncountable),Das,Schlafen,schlafen,2,"Das Schlafen, (usually uncountable)","el Dormir, -"
Soda,Die Limonade,Die Limonaden,Die,Limonade,limonade,1,"Die Limonade, Die Limonaden","La llimonada, les llimonades"
Owl,Die Eule,Die Eulen,Die,Eule,eule,1,"Die Eule, Die Eulen","El mussol, els mussols"
Menu,Das Menü,Die Menüs,Das,Menü,menü,2,"Das Menü, Die Menüs","El menú, els menús"
Kick,Der Tritt,Die Tritte,Der,Tritt,tritt,0,"Der Tritt, Die Tritte","La puntada, les puntades"
Ruin,Der Ruin,Die Ruinen,Der,Ruin,ruin,0,"Der Ruin, Die Ruinen","La ruïna, les ruïnes"
Ramp,Die Rampe,Die Rampen,Die,Rampe,rampe,1,"Die Rampe, Die Rampen","La rampa, les rampes"
Streak,Die Streif,Die Streifen,Die,Streif,streif,1,"Die Streif, Die Streifen","Les ratlles, les ratlles"
Forearm,Der Unterarm,Die Unterarme,Der,Unterarm,unterarm,0,"Der Unterarm, Die Unterarme","L'avantbraç, els avantbraços"
Bureau,Das Büro,Die Büros,Das,Büro,büro,2,"Das Büro, Die Büros","L'oficina, les oficines"
Knuckle,Das Gelenk,Die Gelenke,Das,Gelenk,gelenk,2,"Das Gelenk, Die Gelenke","L'articulació, les articulacions"
Goose,Die Gans,Die Gänse,Die,Gans,gans,1,"Die Gans, Die Gänse","L'oca, les oques"
Advance,Der Fortschritt,Die Fortschritte,Der,Fortschritt,fortschritt,0,"Der Fortschritt, Die Fortschritte","El progrés, el progrés"
Fairy,Die Fee,Die Feen,Die,Fee,fee,1,"Die Fee, Die Feen","La fada, les fades"
Illness,Die Krankheit,Die Krankheiten,Die,Krankheit,krankheit,1,"Die Krankheit, Die Krankheiten","La malaltia, les malalties"
Squad,Das Kommando,Die Kommandos,Das,Kommando,kommando,2,"Das Kommando, Die Kommandos","L'ordre, les ordres"
Official,Der Beamte,Die Beamten,Der,Beamte,beamte,0,"Der Beamte, Die Beamten","El funcionari, els funcionaris"
Brand,Die Marke,Die Marken,Die,Marke,marke,1,"Die Marke, Die Marken","La marca, les marques"
Organ,Das Organ,Die Organe,Das,Organ,organ,2,"Das Organ, Die Organe","L'orgue, els òrgans"
Butterfly,Der Schmetterling,Die Schmetterlinge,Der,Schmetterling,schmetterling,0,"Der Schmetterling, Die Schmetterlinge","La papallona, les papallones"
Empire,Das Imperium,Die Reiche,Das,Imperium,imperium,2,"Das Imperium, Die Reiche","L'Imperi, Els Regnes"
Profile,Das Profil,Die Profile,Das,Profil,profil,2,"Das Profil, Die Profile","El perfil, els perfils"
Liberty,Die Freiheit,Die Freiheiten,Die,Freiheit,freiheit,1,"Die Freiheit, Die Freiheiten","la Llibertat, les llibertats"
Disbelief,Der Unglaube,(usually uncountable),Der,Unglaube,unglaube,0,"Der Unglaube, (usually uncountable)","la Incredulitat, -"
Grove,Der Hain,Die Haine,Der,Hain,hain,0,"Der Hain, Die Haine","El Grove, Els Groves"
