english,singular,plural,article,noun,x,y,possessive,croatian,n_words
Thigh,Der Oberschenkel,Die Oberschenkel,Der,Oberschenkel,bedro,2,moje,Moje bedro,2
Lab,Das Labor,Die Labore,Das,Labor,laboratorij,0,moj,Moj laboratorij,2
Roll,Die Rolle,Die Rollen,Die,Rolle,uloga,1,moja,Moja uloga,2
Fruit,Die Frucht,Die Früchte,Die,Frucht,voće,2,moje,Moje voće,2
Patch,Das Patch,Die Patches,Das,Patch,zakrpa,1,moja,Moja zakrpa,2
Silk,Die Seide,-,Die,Seide,svila,1,moja,Moja svila,2
Buck,Der Dollar,Die Dollars,Der,Dollar,dolar,0,moj,Moj dolar,2
Brick,Der Ziegel,Die Ziegel,Der,Ziegel,cigla,1,moja,Moja cigla,2
Rifle,Das Gewehr,Die Gewehre,Das,Gewehr,puška,1,moja,Moja puška,2
Career,Die Karriere,Die Karrieren,Die,Karriere,karijera,1,moja,Moja karijera,2
Director,Der Regisseur,Die Regisseure,Der,Regisseur,direktor,0,moj,Moj direktor,2
Monster,Das Monster,Die Monster,Das,Monster,čudovište,2,moje,Moje čudovište,2
Vehicle,Das Fahrzeug,Die Fahrzeuge,Das,Fahrzeug,vozilo,2,moje,Moje vozilo,2
Alley,Die Gasse,Die Gassen,Die,Gasse,uličica,1,moja,Moja uličica,2
Sleeve,Der Ärmel,Die Ärmel,Der,Ärmel,rukav,0,moj,Moj rukav,2
Grave,Das Grab,Die Gräber,Das,Grab,grob,0,moj,Moj grob,2
Bush,Der Busch,Die Büsche,Der,Busch,grm,0,moj,Moj grm,2
Dining,Das Esszimmer,-,Das,Esszimmer,blagovaonica,1,moja,Moja blagovaonica,2
Opening,Die Öffnung,Die Öffnungen,Die,Öffnung,otvaranje,2,moje,Moje otvaranje,2
Twin,Das Zwilling,Die Zwillinge,Das,Zwilling,blizanac,0,moj,Moj blizanac,2
Barn,Die Scheune,Die Scheunen,Die,Scheune,štala,1,moja,Moja štala,2
Pound,Das Pfund,Die Pfunde,Das,Pfund,funta,1,moja,Moja funta,2
Flash,Der Blitz,Die Blitze,Der,Blitz,bljesak,0,moj,Moj bljesak,2
Judge,Der Richter,Die Richter,Der,Richter,sudac,0,moj,Moj sudac,2
Mass,Die Masse,Die Massen,Die,Masse,misa,1,moja,Moja misa,2
Process,Der Prozess,Die Prozesse,Der,Prozess,proces,0,moj,Moj proces,2
Tie,Die Krawatte,Die Krawatten,Die,Krawatte,kravata,1,moja,Moja kravata,2
Purse,Die Geldbörse,Die Geldbörsen,Die,Geldbörse,novčanik,0,moj,Moj novčanik,2
Pipe,Die Pfeife,Die Pfeifen,Die,Pfeife,lula,1,moja,Moja lula,2
Dragon,Der Drache,Die Drachen,Der,Drache,zmaj,0,moj,Moj zmaj,2
Horizon,Der Horizont,Die Horizonte,Der,Horizont,horizont,0,moj,Moj horizont,2
Envelope,Der Umschlag,Die Umschläge,Der,Umschlag,omotnica,1,moja,Moja omotnica,2
Check,Der Scheck,Die Schecks,Der,Scheck,ček,0,moj,Moj ček,2
Material,Das Material,Die Materialien,Das,Material,materijal,0,moj,Moj materijal,2
Childhood,Die Kindheit,-,Die,Kindheit,djetinjstvo,2,moje,Moje djetinjstvo,2
Habit,Die Gewohnheit,Die Gewohnheiten,Die,Gewohnheit,navika,1,moja,Moja navika,2
Artist,Der Künstler,Die Künstler,Der,Künstler,umjetnik,0,moj,Moj umjetnik,2
Address,Die Adresse,Die Adressen,Die,Adresse,adresa,1,moja,Moja adresa,2
Universe,Das Universum,Die Universen,Das,Universum,svemir,0,moj,Moj svemir,2
Shell,Die Muschel,Die Muscheln,Die,Muschel,ljuska,1,moja,Moja ljuska,2
Community,Die Gemeinschaft,Die Gemeinschaften,Die,Gemeinschaft,zajednica,1,moja,Moja zajednica,2
Wound,Die Wunde,Die Wunden,Die,Wunde,rana,1,moja,Moja rana,2
Mouse,Die Maus,Die Mäuse,Die,Maus,miš,0,moj,Moj miš,2
Pilot,Der Pilot,Die Piloten,Der,Pilot,pilot,0,moj,Moj pilot,2
Grade,Die Note,Die Noten,Die,Note,ocjena,1,moja,Moja ocjena,2
Video,Das Video,Die Videos,Das,Video,videozapis,0,moj,Moj videozapis,2
Basket,Der Korb,Die Körbe,Der,Korb,košarica,1,moja,Moja košarica,2
Wagon,Der Waggon,Die Waggons,Der,Waggon,vagon,0,moj,Moj vagon,2
Attempt,Der Versuch,Die Versuche,Der,Versuch,pokušaj,0,moj,Moj pokušaj,2
Cake,Der Kuchen,Die Kuchen,Der,Kuchen,torta,1,moja,Moja torta,2
Shore,Die Küste,Die Küsten,Die,Küste,obala,1,moja,Moja obala,2
General,Der General,Die Generäle,Der,General,opći,0,moj,Moj opći,2
Root,Die Wurzel,Die Wurzeln,Die,Wurzel,korijen,0,moj,Moj korijen,2
Robe,Der Umhang,Die Umhänge,Der,Umhang,ogrtač,0,moj,Moj ogrtač,2
Press,Die Presse,-,Die,Presse,tisak,0,moj,Moj tisak,2
Rat,Die Ratte,Die Ratten,Die,Ratte,štakor,0,moj,Moj štakor,2
Style,Der Stil,Die Stile,Der,Stil,stil,0,moj,Moj stil,2
County,Der Bezirk,Die Bezirke,Der,Bezirk,okrug,0,moj,Moj okrug,2
Command,Der Befehl,Die Befehle,Der,Befehl,zapovijed,1,moja,Moja zapovijed,2
Visitor,Der Besucher,Die Besucher,Der,Besucher,posjetitelj,0,moj,Moj posjetitelj,2
Model,Das Modell,Die Modelle,Das,Modell,model,0,moj,Moj model,2
Chamber,Die Kammer,Die Kammern,Die,Kammer,odaja,1,moja,Moja odaja,2
Bunch,Der Strauß,Die Sträuße,Der,Strauß,buket,0,moj,Moj buket,2
Background,Der Hintergrund,Die Hintergründe,Der,Hintergrund,pozadina,1,moja,Moja pozadina,2
Unit,Die Einheit,Die Einheiten,Die,Einheit,jedinica,1,moja,Moja jedinica,2
Furniture,Das Möbel,Die Möbel,Das,Möbel,namještaj,0,moj,Moj namještaj,2
Nail,Der Nagel,Die Nägel,Der,Nagel,nokat,0,moj,Moj nokat,2
Scream,Der Schrei,Die Schreie,Der,Schrei,vrisak,0,moj,Moj vrisak,2
Equipment,Die Ausrüstung,-,Die,Ausrüstung,oprema,1,moja,Moja oprema,2
Driveway,Die Auffahrt,Die Auffahrten,Die,Auffahrt,uzašašće,2,moje,Moje Uzašašće,2
Grip,Der Griff,Die Griffe,Der,Griff,stisak,0,moj,Moj stisak,2
Tube,Die Röhre,Die Röhren,Die,Röhre,cijev,1,moja,Moja cijev,2
Ash,Die Asche,Die Aschen,Die,Asche,pepeo,0,moj,Moj pepeo,2
Fan,Der Ventilator,Die Ventilatoren,Der,Ventilator,obožavatelj,0,moj,Moj obožavatelj,2
Trick,Der Trick,Die Tricks,Der,Trick,trik,0,moj,Moj trik,2
Period,Die Periode,Die Perioden,Die,Periode,menstruacija,1,moja,Moja menstruacija,2
Horror,Der Horror,-,Der,Horror,užas,0,moj,Moj užas,2
Health,Die Gesundheit,-,Die,Gesundheit,zdravlje,2,moje,Moje zdravlje,2
Manager,Der Manager,Die Manager,Der,Manager,menadžer,0,moj,Moj menadžer,2
Height,Die Höhe,Die Höhen,Die,Höhe,visina,1,moja,Moja visina,2
Appearance,Das Aussehen,-,Das,Aussehen,izgled,0,moj,Moj izgled,2
Sigh,Der Seufzer,Die Seufzer,Der,Seufzer,uzdah,0,moj,Moj uzdah,2
Mine,Die Mine,Die Minen,Die,Mine,rudnik,0,moj,Moj rudnik,2
Cloth,Der Stoff,Die Stoffe,Der,Stoff,tkanina,1,moja,Moja tkanina,2
Reaction,Die Reaktion,Die Reaktionen,Die,Reaktion,reakcija,1,moja,Moja reakcija,2
Source,Die Quelle,Die Quellen,Die,Quelle,izvor,0,moj,Moj izvor,2
Self,Das Selbst,-,Das,Selbst,ja,2,moje,Moje ja,2
Pistol,Die Pistole,Die Pistolen,Die,Pistole,pištolj,0,moj,Moj pištolj,2
Hero,Der Held,Die Helden,Der,Held,heroj,0,moj,Moj heroj,2
Promise,Das Versprechen,Die Versprechen,Das,Versprechen,obećanje,2,moje,Moje obećanje,2
Bow,Der Bogen,Die Bögen,Der,Bogen,luk,0,moj,Moj luk,2
Tent,Das Zelt,Die Zelte,Das,Zelt,šator,0,moj,Moj šator,2
Avenue,Die Allee,Die Alleen,Die,Allee,avenija,1,moja,Moja avenija,2
TShirt,Das T-Shirt,Die T-Shirts,Das,T-Shirt,majica,1,moja,Moja majica,2
Carpet,Der Teppich,Die Teppiche,Der,Teppich,tepih,0,moj,Moj tepih,2
Basement,Der Keller,Die Keller,Der,Keller,podrum,0,moj,Moj podrum,2
Signal,Das Signal,Die Signale,Das,Signal,signal,0,moj,Moj signal,2
Servant,Der Diener,Die Diener,Der,Diener,sluga,0,moj,Moj sluga,2
Whisper,Das Flüstern,Die Flüster,Das,Flüstern,šapat,0,moj,Moj šapat,2
Doubt,Der Zweifel,Die Zweifel,Der,Zweifel,sumnja,1,moja,Moja sumnja,2
Magic,Die Magie,-,Die,Magie,magija,1,moja,Moja magija,2
Hank,Der Klumpen,Die Klumpen,Der,Klumpen,kvržica,1,moja,Moja kvržica,2
Limb,Das Glied,Die Glieder,Das,Glied,ud,0,moj,Moj ud,2
Skull,Der Schädel,Die Schädel,Der,Schädel,lubanja,1,moja,Moja lubanja,2
Collar,Der Kragen,Die Kragen,Der,Kragen,ovratnik,0,moj,Moj ovratnik,2
Horn,Das Horn,Die Hörner,Das,Horn,rog,0,moj,Moj rog,2
Oak,Die Eiche,Die Eichen,Die,Eiche,hrast,0,moj,Moj hrast,2
Ankle,Der Knöchel,Die Knöchel,Der,Knöchel,gležanj,0,moj,Moj gležanj,2
Doll,Die Puppe,Die Puppen,Die,Puppe,lutka,1,moja,Moja lutka,2
Sandwich,Das Sandwich,Die Sandwiches,Das,Sandwich,sendvič,0,moj,Moj sendvič,2
Robin,Der Rotkehlchen,Die Rotkehlchen,Der,Rotkehlchen,crvendać,0,moj,Moj crvendać,2
Justice,Die Gerechtigkeit,-,Die,Gerechtigkeit,pravda,1,moja,Moja pravda,2
Pride,Der Stolz,-,Der,Stolz,ponos,0,moj,Moj ponos,2
Youth,Die Jugend,-,Die,Jugend,mladost,1,moja,Moja mladost,2
Secretary,Der Sekretär,Die Sekretäre,Der,Sekretär,tajnica,1,moja,Moja tajnica,2
Research,Die Forschung,-,Die,Forschung,istraživanje,2,moje,Moje istraživanje,2
Sport,Der Sport,Die Sportarten,Der,Sport,sport,0,moj,Moj sport,2
Task,Die Aufgabe,Die Aufgaben,Die,Aufgabe,zadatak,0,moj,Moj zadatak,2
Grant,Das Stipendium,Die Stipendien,Das,Stipendium,stipendija,1,moja,Moja stipendija,2
Sheriff,Der Sheriff,Die Sheriffs,Der,Sheriff,šerif,0,moj,Moj šerif,2
Midnight,Die Mitternacht,-,Die,Mitternacht,ponoć,1,moja,Moja ponoć,2
Chip,Der Chip,Die Chips,Der,Chip,čip,0,moj,Moj čip,2
Theory,Die Theorie,Die Theorien,Die,Theorie,teorija,1,moja,Moja teorija,2
Alarm,Der Alarm,Die Alarme,Der,Alarm,alarm,0,moj,Moj alarm,2
Collection,Die Sammlung,Die Sammlungen,Die,Sammlung,kolekcija,1,moja,Moja kolekcija,2
Cross,Das Kreuz,Die Kreuze,Das,Kreuz,križ,0,moj,Moj križ,2
Pine,Die Kiefer,Die Kiefern,Die,Kiefer,čeljusti,2,moje,Moje čeljusti,2
Generation,Die Generation,Die Generationen,Die,Generation,generacija,1,moja,Moja generacija,2
Authority,Die Autorität,Die Autoritäten,Die,Autorität,autoritet,0,moj,Moj autoritet,2
Pearl,Die Perle,Die Perlen,Die,Perle,biser,0,moj,Moj biser,2
Toilet,Die Toilette,Die Toiletten,Die,Toilette,wc,0,moj,Moj WC,2
Killer,Der Mörder,Die Mörder,Der,Mörder,ubojica,0,moj,Moj ubojica,2
Medicine,Die Medizin,Die Medizinen,Die,Medizin,lijek,0,moj,Moj lijek,2
Sugar,Der Zucker,-,Der,Zucker,šećer,0,moj,Moj šećer,2
Princess,Die Prinzessin,Die Prinzessinnen,Die,Prinzessin,princeza,1,moja,Moja princeza,2
Argument,Das Argument,Die Argumente,Das,Argument,argument,0,moj,Moj argument,2
Cliff,Die Klippe,Die Klippen,Die,Klippe,litica,1,moja,Moja litica,2
Crystal,Der Kristall,Die Kristalle,Der,Kristall,kristal,0,moj,Moj kristal,2
Bean,Die Bohne,Die Bohnen,Die,Bohne,grah,0,moj,Moj grah,2
Cage,Der Käfig,Die Käfige,Der,Käfig,kavez,0,moj,Moj kavez,2
Chocolate,Die Schokolade,-,Die,Schokolade,čokolada,1,moja,Moja čokolada,2
Decade,Das Jahrzehnt,Die Jahrzehnte,Das,Jahrzehnt,desetljeće,2,moje,Moje desetljeće,2
Meaning,Die Bedeutung,Die Bedeutungen,Die,Bedeutung,značenje,2,moje,Moje značenje,2
Suitcase,Der Koffer,Die Koffer,Der,Koffer,kofer,0,moj,Moj kofer,2
Operation,Die Operation,Die Operationen,Die,Operation,operacija,1,moja,Moja operacija,2
Breathing,Das Atmen,-,Das,Atmen,disanje,2,moje,Moje disanje,2
Version,Die Version,Die Versionen,Die,Version,verzija,1,moja,Moja verzija,2
Prisoner,Der Gefangene,Die Gefangenen,Der,Gefangene,zatvorenik,0,moj,Moj zatvorenik,2
Rush,Der Rausch,Die Räusche,Der,Rausch,opijenost,1,moja,Moja opijenost,2
Lane,Die Fahrspur,Die Fahrspuren,Die,Fahrspur,traka,1,moja,Moja traka,2
Pole,Der Pfahl,Die Pfähle,Der,Pfahl,ulog,0,moj,Moj ulog,2
Freedom,Die Freiheit,-,Die,Freiheit,sloboda,1,moja,Moja sloboda,2
Skill,Die Fähigkeit,Die Fähigkeiten,Die,Fähigkeit,vještina,1,moja,Moja vještina,2
Passion,Die Leidenschaft,Die Leidenschaften,Die,Leidenschaft,strast,1,moja,Moja strast,2
Activity,Die Aktivität,Die Aktivitäten,Die,Aktivität,aktivnost,1,moja,Moja aktivnost,2
Fuck,Der Fick,Die Ficks,Der,Fick,jebanje,0,moj,Moj jebanje,2
Platform,Die Plattform,Die Plattformen,Die,Plattform,platforma,1,moja,Moja platforma,2
Salt,Das Salz,-,Das,Salz,sol,1,moja,Moja sol,2
Companion,Der Begleiter,Die Begleiter,Der,Begleiter,suputnik,0,moj,Moj suputnik,2
Fate,Das Schicksal,-,Das,Schicksal,sudbina,1,moja,Moja sudbina,2
Supply,Die Versorgung,Die Versorgungen,Die,Versorgung,zaliha,1,moja,Moja zaliha,2
Whale,Der Wal,Die Wale,Der,Wal,kit,0,moj,Moj kit,2
Pig,Das Schwein,Die Schweine,Das,Schwein,svinja,1,moja,Moja svinja,2
Rabbit,Das Kaninchen,Die Kaninchen,Das,Kaninchen,zec,0,moj,Moj zec,2
Monitor,Der Monitor,Die Monitore,Der,Monitor,monitor,0,moj,Moj monitor,2
Helmet,Der Helm,Die Helme,Der,Helm,kaciga,1,moja,Moja kaciga,2
Respect,Der Respekt,-,Der,Respekt,poštovanje,2,moje,Moje poštovanje,2
Excitement,Die Aufregung,-,Die,Aufregung,uzbuđenje,2,moje,Moje uzbuđenje,2
Lobby,Die Lobby,Die Lobbys,Die,Lobby,predvorje,2,moje,Moje predvorje,2
Fur,Der Pelz,Die Felle,Der,Pelz,krzno,2,moje,Moje krzno,2
Range,Die Bandbreite,Die Bandbreiten,Die,Bandbreite,propusnost,1,moja,Moja propusnost,2
Code,Der Code,Die Codes,Der,Code,kod,0,moj,Moj kod,2
Chapter,Das Kapitel,Die Kapitel,Das,Kapitel,poglavlje,2,moje,Moje poglavlje,2
Reflection,Die Reflexion,Die Reflexionen,Die,Reflexion,odraz,0,moj,Moj odraz,2
Toy,Das Spielzeug,Die Spielzeuge,Das,Spielzeug,igračke,2,moje,Moje igračke,2
Inside,Das Innere,-,Das,Innere,nutrina,1,moja,Moja nutrina,2
Pace,Das Tempo,-,Das,Tempo,tempo,0,moj,Moj tempo,2
Lead,Das Blei,-,Das,Blei,trag,0,moj,Moj trag,2
Amount,Die Menge,Die Mengen,Die,Menge,količina,1,moja,Moja količina,2
Nerve,Der Nerv,Die Nerven,Der,Nerv,živac,0,moj,Moj živac,2
Sweater,Der Pullover,Die Pullover,Der,Pullover,džemper,0,moj,Moj džemper,2
Quality,Die Qualität,Die Qualitäten,Die,Qualität,kvaliteta,1,moja,Moja kvaliteta,2
Hunter,Der Jäger,Die Jäger,Der,Jäger,lovac,0,moj,Moj lovac,2
Buster,Der Zerstörer,Die Zerstörer,Der,Zerstörer,razarač,0,moj,Moj razarač,2
Cotton,Die Baumwolle,-,Die,Baumwolle,pamuk,0,moj,Moj pamuk,2
Sergeant,Der Feldwebel,Die Feldwebel,Der,Feldwebel,narednik,0,moj,Moj narednik,2
Credit,Der Kredit,Die Kredite,Der,Kredit,kredit,0,moj,Moj kredit,2
Devil,Der Teufel,Die Teufel,Der,Teufel,vrag,0,moj,Moj vrag,2
Threat,Die Bedrohung,Die Bedrohungen,Die,Bedrohung,prijetnja,1,moja,Moja prijetnja,2
Success,Der Erfolg,Die Erfolge,Der,Erfolg,uspjeh,0,moj,Moj uspjeh,2
Pan,Die Pfanne,Die Pfannen,Die,Pfanne,tava,1,moja,Moja tava,2
Clerk,Der Angestellte,Die Angestellten,Der,Angestellte,zaposlenik,0,moj,Moj zaposlenik,2
Title,Der Titel,Die Titel,Der,Titel,naslov,0,moj,Moj naslov,2
Meter,Der Meter,Die Meter,Der,Meter,mjerač,0,moj,Moj mjerač,2
Shame,Die Schande,-,Die,Schande,sramota,1,moja,Moja sramota,2
Needle,Die Nadel,Die Nadeln,Die,Nadel,igla,1,moja,Moja igla,2
Lung,Die Lunge,Die Lungen,Die,Lunge,pluća,1,moja,Moja pluća,2
Warrior,Der Krieger,Die Krieger,Der,Krieger,ratnik,0,moj,Moj ratnik,2
Circumstance,Die Umstände,-,Die,Umstände,okolnosti,2,moje,Moje okolnosti,2
Studio,Das Studio,Die Studios,Das,Studio,studio,0,moj,Moj studio,2
Panic,Die Panik,-,Die,Panik,panika,1,moja,Moja panika,2
Lack,Der Mangel,-,Der,Mangel,nedostatak,0,moj,Moj nedostatak,2
Farmer,Der Bauer,Die Bauern,Der,Bauer,farmer,0,moj,Moj farmer,2
Accent,Der Akzent,Die Akzente,Der,Akzent,naglasak,0,moj,Moj naglasak,2
Bomb,Die Bombe,Die Bomben,Die,Bombe,bomba,1,moja,Moja bomba,2
Victor,Der Sieger,Die Sieger,Der,Sieger,pobjednik,0,moj,Moj pobjednik,2
Feather,Die Feder,Die Federn,Die,Feder,pero,2,moje,Moje pero,2
Glow,Das Leuchten,Die Leuchten,Das,Leuchten,sjaj,0,moj,Moj sjaj,2
Behavior,Das Verhalten,-,Das,Verhalten,ponašanje,2,moje,Moje ponašanje,2
Slave,Der Sklave,Die Sklaven,Der,Sklave,rob,0,moj,Moj rob,2
Lieutenant,Der Leutnant,Die Leutnants,Der,Leutnant,poručnik,0,moj,Moj poručnik,2
Barrel,Das Fass,Die Fässer,Das,Fass,bačva,1,moja,Moja bačva,2
Warmth,Die Wärme,-,Die,Wärme,toplina,1,moja,Moja toplina,2
Impression,Der Eindruck,Die Eindrücke,Der,Eindruck,dojam,0,moj,Moj dojam,2
Mason,Der Maurer,Die Maurer,Der,Maurer,mason,0,moj,Moj mason,2
Bride,Die Braut,Die Bräute,Die,Braut,nevjesta,1,moja,Moja nevjesta,2
Fog,Der Nebel,-,Der,Nebel,magla,1,moja,Moja magla,2
Walking,Das Gehen,-,Das,Gehen,hodanje,2,moje,Moje hodanje,2
Balance,Das Gleichgewicht,-,Das,Gleichgewicht,saldo,0,moj,Moj saldo,2
Sock,Die Socke,Die Socken,Die,Socke,čarapa,1,moja,Moja čarapa,2
Robot,Der Roboter,Die Roboter,Der,Roboter,robot,0,moj,Moj robot,2
Potato,Die Kartoffel,Die Kartoffeln,Die,Kartoffel,krumpir,0,moj,Moj krumpir,2
Diamond,Der Diamant,Die Diamanten,Der,Diamant,dijamant,0,moj,Moj dijamant,2
Corpse,Die Leiche,Die Leichen,Die,Leiche,leš,0,moj,Moj leš,2
Explanation,Die Erklärung,Die Erklärungen,Die,Erklärung,objašnjenje,2,moje,Moje objašnjenje,2
Structure,Die Struktur,Die Strukturen,Die,Struktur,struktura,1,moja,Moja struktura,2
Exit,Der Ausgang,Die Ausgänge,Der,Ausgang,izlaz,0,moj,Moj izlaz,2
Stove,Der Herd,Die Herde,Der,Herd,peć,1,moja,Moja peć,2
Blue,Das Blau,-,Das,Blau,plava,1,moja,Moja plava,2
American,Der Amerikaner,Die Amerikaner,Der,Amerikaner,amerikanac,0,moj,Moj Amerikanac,2
Ruby,Der Rubin,Die Rubine,Der,Rubin,ruby,0,moj,Moj Ruby,2
Pit,Die Grube,Die Gruben,Die,Grube,jama,1,moja,Moja jama,2
Colonel,Der Oberst,Die Obersten,Der,Oberst,pukovniče,0,moj,Moj pukovniče,2
Dock,Der Hafen,Die Häfen,Der,Hafen,utočište,2,moje,Moje utočište,2
Creek,Der Bach,Die Bäche,Der,Bach,bach,0,moj,Moj Bach,2
Tourist,Der Tourist,Die Touristen,Der,Tourist,turist,0,moj,Moj turist,2
Grief,Die Trauer,-,Die,Trauer,tuga,1,moja,Moja tuga,2
Defense,Die Verteidigung,-,Die,Verteidigung,obrana,1,moja,Moja obrana,2
Bite,Der Biss,Die Bisse,Der,Biss,ugriz,0,moj,Moj ugriz,2
Museum,Das Museum,Die Museen,Das,Museum,muzej,0,moj,Moj muzej,2
Favor,Der Gefallen,Die Gefallen,Der,Gefallen,naklonost,1,moja,Moja naklonost,2
Comfort,Der Komfort,-,Der,Komfort,udobnost,1,moja,Moja udobnost,2
Dean,Der Dekan,-,Der,Dekan,dekan,0,moj,Moj dekan,2
Value,Der Wert,Die Werte,Der,Wert,vrijednost,1,moja,Moja vrijednost,2
March,Der Marsch,Die Märsche,Der,Marsch,ožujak,0,moj,Moj ožujak,2
Poet,Der Dichter,Die Dichter,Der,Dichter,pjesnik,0,moj,Moj pjesnik,2
Palace,Der Palast,Die Paläste,Der,Palast,palača,1,moja,Moja palača,2
Soup,Die Suppe,Die Suppen,Die,Suppe,juha,1,moja,Moja juha,2
Nation,Die Nation,Die Nationen,Die,Nation,narod,0,moj,Moj narod,2
Sack,Der Sack,Die Säcke,Der,Sack,vreća,1,moja,Moja vreća,2
Demon,Der Dämon,Die Dämonen,Der,Dämon,demon,0,moj,Moj demon,2
Conference,Die Konferenz,Die Konferenzen,Die,Konferenz,konferencija,1,moja,Moja konferencija,2
Juice,Der Saft,Die Säfte,Der,Saft,sok,0,moj,Moj sok,2
Responsibility,Die Verantwortung,-,Die,Verantwortung,odgovornost,1,moja,Moja odgovornost,2
Brush,Die Bürste,Die Bürsten,Die,Bürste,kist,0,moj,Moj kist,2
Cheese,Der Käse,Die Käse,Der,Käse,sir,0,moj,Moj sir,2
Duck,Die Ente,Die Enten,Die,Ente,patka,1,moja,Moja patka,2
Saint,Der Heilige,Die Heiligen,Der,Heilige,svetac,0,moj,Moj svetac,2
Pass,Der Pass,Die Pässe,Der,Pass,putovnica,1,moja,Moja putovnica,2
Orange,Die Orange,Die Orangen,Die,Orange,naranča,1,moja,Moja naranča,2
Culture,Die Kultur,Die Kulturen,Die,Kultur,kultura,1,moja,Moja kultura,2
Tour,Die Tour,Die Touren,Die,Tour,turneja,1,moja,Moja turneja,2
Commander,Der Kommandant,Die Kommandanten,Der,Kommandant,zapovjednik,0,moj,Moj zapovjednik,2
Hook,Der Haken,Die Haken,Der,Haken,udica,1,moja,Moja udica,2
Training,Das Training,Die Trainings,Das,Training,obuka,1,moja,Moja obuka,2
Search,Die Suche,Die Suchen,Die,Suche,pretraga,1,moja,Moja pretraga,2
Coin,Die Münze,Die Münzen,Die,Münze,novčić,0,moj,Moj novčić,2
Advantage,Der Vorteil,Die Vorteile,Der,Vorteil,prednost,1,moja,Moja prednost,2
Exchange,Der Austausch,Die Austausche,Der,Austausch,razmjena,1,moja,Moja razmjena,2
Fiction,Die Fiktion,-,Die,Fiktion,fikcija,1,moja,Moja fikcija,2
Pond,Der Teich,Die Teiche,Der,Teich,ribnjak,0,moj,Moj ribnjak,2
Assistant,Der Assistent,Die Assistenten,Der,Assistent,pomoćnik,0,moj,Moj pomoćnik,2
Design,Das Design,Die Designs,Das,Design,dizajn,0,moj,Moj dizajn,2
Fishing,Das Angeln,-,Das,Angeln,ribolov,0,moj,Moj ribolov,2
Slope,Der Hang,Die Hänge,Der,Hang,vješanje,2,moje,Moje vješanje,2
Earl,Der Graf,Die Grafen,Der,Graf,grof,0,moj,Moj grof,2
Comment,Der Kommentar,Die Kommentare,Der,Kommentar,komentar,0,moj,Moj komentar,2
Waiter,Der Kellner,Die Kellner,Der,Kellner,konobar,0,moj,Moj konobar,2
Ladder,Die Leiter,Die Leitern,Die,Leiter,ljestve,2,moje,Moje ljestve,2
Curve,Die Kurve,Die Kurven,Die,Kurve,krivulja,1,moja,Moja krivulja,2
Volume,Das Volumen,Die Volumina,Das,Volumen,glasnoća,1,moja,Moja glasnoća,2
Risk,Das Risiko,Die Risiken,Das,Risiko,rizik,0,moj,Moj rizik,2
Existence,Die Existenz,-,Die,Existenz,postojanje,2,moje,Moje postojanje,2
Disease,Die Krankheit,Die Krankheiten,Die,Krankheit,bolest,1,moja,Moja bolest,2
Support,Die Unterstützung,-,Die,Unterstützung,podrška,1,moja,Moja podrška,2
Witness,Der Zeuge,Die Zeugen,Der,Zeuge,svjedok,0,moj,Moj svjedok,2
Stock,Der Bestand,Die Bestände,Der,Bestand,dionice,2,moje,Moje dionice,2
Device,Das Gerät,Die Geräte,Das,Gerät,uređaj,0,moj,Moj uređaj,2
Landscape,Die Landschaft,Die Landschaften,Die,Landschaft,krajolik,0,moj,Moj krajolik,2
Ace,Das Ass,Die Asse,Das,Ass,as,0,moj,Moj as,2
Piano,Das Klavier,Die Klaviere,Das,Klavier,klavir,0,moj,Moj klavir,2
Gut,Der Darm,-,Der,Darm,crijeva,1,moja,Moja crijeva,2
Talent,Das Talent,Die Talente,Das,Talent,talent,0,moj,Moj talent,2
Imagination,Die Fantasie,-,Die,Fantasie,fantazija,1,moja,Moja fantazija,2
Black,Das Schwarz,-,Das,Schwarz,crna,1,moja,Moja crna,2
Reed,Der Rohrkolben,Die Rohrkolben,Der,Rohrkolben,rogoz,0,moj,Moj rogoz,2
Lid,Der Deckel,Die Deckel,Der,Deckel,poklopac,0,moj,Moj poklopac,2
Walker,Der Spaziergänger,Die Spaziergänger,Der,Spaziergänger,šetač,0,moj,Moj šetač,2
Chill,Das Schaudern,-,Das,Schaudern,drhtaj,0,moj,Moj drhtaj,2
Interview,Das Interview,Die Interviews,Das,Interview,intervju,0,moj,Moj intervju,2
Approach,Der Ansatz,Die Ansätze,Der,Ansatz,pristup,0,moj,Moj pristup,2
Scar,Die Narbe,Die Narben,Die,Narbe,ožiljak,0,moj,Moj ožiljak,2
Fashion,Die Mode,-,Die,Mode,moda,1,moja,Moja moda,2
Channel,Der Kanal,Die Kanäle,Der,Kanal,kanal,0,moj,Moj kanal,2
Footstep,Der Fußabdruck,Die Fußabdrücke,Der,Fußabdruck,otisak,0,moj,Moj otisak,2
Pickup,Der Pick-up,Die Pick-ups,Der,Pick-up,pick-up,0,moj,Moj pick-up,2
Hawk,Der Habicht,Die Habichte,Der,Habicht,jastreb,0,moj,Moj jastreb,2
Trailer,Der Anhänger,Die Anhänger,Der,Anhänger,prikolica,1,moja,Moja prikolica,2
Statue,Die Statue,Die Statuen,Die,Statue,kip,0,moj,Moj kip,2
Pill,Die Pille,Die Pillen,Die,Pille,pilula,1,moja,Moja pilula,2
